case,mode,configuration,runs,priority_detection_rate,interpretation_exact_rate,canonical_compliance_rate,compliance_gap_mean,minimum_operational_priority_slack_mean,lexicographic_optimality_proven_rate,projected_full_day_pto_cost_mean,projected_full_day_aggregator_revenue_mean,mode_aligned_score_mean
aw_combined_evening,altruistic,agent_evaluator_raw_text,5,1.0,1.0,1.0,0.135036,,,121.676451,12.175451,-121.676451
aw_combined_evening,altruistic,evaluator_removal_control,1,0.0,0.0,1.0,0.135036,,,121.676451,12.175451,-121.676451
aw_combined_evening,altruistic,rule_text_evaluator,1,0.0,0.0,1.0,0.135036,,,121.676451,12.175451,-121.676451
aw_combined_evening,altruistic,structured_evaluator_oracle,1,1.0,1.0,1.0,0.135036,,,121.676451,12.175451,-121.676451
aw_combined_evening,selfish,agent_evaluator_raw_text,5,1.0,1.0,1.0,0.135036,,,138.398103,28.89715,28.89715
aw_combined_evening,selfish,evaluator_removal_control,1,0.0,0.0,1.0,0.135036,,,138.398103,28.89715,28.89715
aw_combined_evening,selfish,rule_text_evaluator,1,0.0,0.0,1.0,0.135036,,,138.398103,28.89715,28.89715
aw_combined_evening,selfish,structured_evaluator_oracle,1,1.0,1.0,1.0,0.135036,,,138.398103,28.89715,28.89715
aw_route6_late_return,altruistic,agent_evaluator_raw_text,5,1.0,1.0,1.0,0.014477,0.0,1.0,124.035485,5.644234,-124.035485
aw_route6_late_return,altruistic,evaluator_removal_control,1,0.0,0.0,0.0,-0.090186,,,123.153139,9.489875,-123.153139
aw_route6_late_return,altruistic,rule_text_evaluator,1,1.0,1.0,1.0,0.014477,0.0,1.0,124.035485,5.644234,-124.035485
aw_route6_late_return,altruistic,structured_evaluator_oracle,1,1.0,1.0,1.0,0.014477,0.0,1.0,124.035485,5.644234,-124.035485
aw_route6_late_return,selfish,agent_evaluator_raw_text,5,1.0,1.0,1.0,0.014477,0.0,1.0,142.222147,12.929286,12.929286
aw_route6_late_return,selfish,evaluator_removal_control,1,0.0,0.0,0.0,-0.037321,,,142.222147,12.929286,12.929286
aw_route6_late_return,selfish,rule_text_evaluator,1,1.0,1.0,1.0,0.014477,0.0,1.0,142.222147,12.929286,12.929286
aw_route6_late_return,selfish,structured_evaluator_oracle,1,1.0,1.0,1.0,0.014477,0.0,1.0,142.222147,12.929286,12.929286
