mode,method,day,n_derating_runs,n_nominal_runs,pto_cost_delta_derating_minus_nominal,aggregator_revenue_delta_derating_minus_nominal,grid_net_cost_delta_derating_minus_nominal,buy_kwh_delta_derating_minus_nominal,sell_kwh_delta_derating_minus_nominal,terminal_minimum_soc_fraction_delta_derating_minus_nominal
altruistic,agent,1,5,1,-1.388889398099025,-5.385210414569682,3.996321016470688,49.999999999999545,5.554862750137716,0.0035013698630137
altruistic,numerical,1,1,1,-1.388889398099025,-5.385210414569682,3.996321016470688,49.999999999999545,5.554862750137716,0.0035013698630137
altruistic,oracle,1,1,1,-1.3888893980989965,-5.385210414569682,3.996321016470688,50.0,5.554862750137716,0.0035013698630136
altruistic,rule_text,1,1,1,-1.388889398099025,-5.385210414569682,3.996321016470688,49.999999999999545,5.554862750137716,0.0035013698630137
altruistic,agent,2,5,1,-1.871344207278085,0.6041380815602437,-2.4754822888382506,100.00000000004228,100.00000000013426,0.0167542465753424
altruistic,numerical,2,1,1,-1.8713442072780708,0.6041380815602437,-2.4754822888382506,100.00000000004228,100.00000000013426,0.0167542465753424
altruistic,oracle,2,1,1,-1.8713442072780992,0.6041380815602402,-2.475482288838293,100.00000000004184,100.00000000013426,0.0167542465753424
altruistic,rule_text,2,1,1,-1.8713442072780708,0.6041380815602437,-2.4754822888382506,100.00000000004228,100.00000000013426,0.0167542465753424
altruistic,agent,3,5,1,-1.1094786557520422,-0.9635302374025354,-0.1459484183494481,-199.999928108276,-100.0,0.0214599999999999
altruistic,numerical,3,1,1,-1.109478655752028,-0.9635302374025354,-0.1459484183494481,-199.999928108276,-100.0,0.02146
altruistic,oracle,3,1,1,-1.1094786557519996,-0.96353023740253,-0.1459484183494055,-199.999928108276,-100.0,0.0214599999999999
altruistic,rule_text,3,1,1,-1.109478655752028,-0.9635302374025354,-0.1459484183494481,-199.999928108276,-100.0,0.02146
selfish,agent,1,5,1,-1.238793290947655,-6.632313726914916,5.393520435967304,0.0,-44.444444444444514,0.0035013698630137
selfish,numerical,1,1,1,-1.238793290947655,-6.632313726914916,5.3935204359672895,0.0,-44.444444444444514,0.0035013698630137
selfish,oracle,1,1,1,-1.2387932909475978,-6.632313726914916,5.3935204359672895,0.0,-44.444444444444514,0.0035013698630136
selfish,rule_text,1,1,1,-1.238793290947655,-6.632313726914923,5.393520435967304,0.0,-44.444444444444514,0.0035013698630137
selfish,agent,2,5,1,-8.452728855585889,-2.658679809264303,-5.7940490463215895,-150.0,-50.0,0.0070027397260273
selfish,numerical,2,1,1,-8.452728855585889,-2.658679809264303,-5.794049046321575,-150.0,-50.0,0.0070027397260273
selfish,oracle,2,1,1,-8.452728855585917,-2.6586798092643,-5.794049046321604,-150.0,-50.0,0.0070027397260274
selfish,rule_text,2,1,1,-8.452728855585889,-2.658679809264303,-5.794049046321575,-150.0,-50.0,0.0070027397260273
selfish,agent,3,5,1,-11.971335750954095,-3.90847889843089,-8.062856852523169,-250.0,-100.00091547385748,0.0187328767123288
selfish,numerical,3,1,1,-11.971335750954095,-3.90847889843089,-8.062856852523169,-250.0,-100.00091547385748,0.0187328767123288
selfish,oracle,3,1,1,-11.971335750954095,-3.90847889843089,-8.062856852523197,-250.0,-100.00091547385748,0.0187328767123288
selfish,rule_text,3,1,1,-11.971335750954095,-3.90847889843089,-8.062856852523169,-250.0,-100.00091547385748,0.0187328767123288
