episode_id,condition,mode,configuration,method,day,case_id,attempt_number,timestep,solver_name,solver_status,solver_relative_gap,configured_mip_gap,configured_time_limit_seconds,configured_gap_met,solver_wall_seconds,solver_lower_bound,solver_upper_bound,solver_fallback_used,workbook,workbook_sha256,run_signature_sha256
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,1,md_charger_derating_day1,1,24,gurobi,ok/optimal,0.018052881573,0.02,900.0,True,0.384374,162.0703596957028,165.0499875749374,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_1.xlsx,56f9fffb93142f2bd2f9493f170cf965163708cb09c9c4554112cdf44d543b9d,79ee0f09430b211045ac02fe59fd20e82badb2caee73c70235cb3f255ff5563f
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,1,md_charger_derating_day1,2,24,gurobi,ok/optimal,0.015297966112,0.02,900.0,True,0.386653,161.5690765604377,164.0791538964622,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_1.xlsx,56f9fffb93142f2bd2f9493f170cf965163708cb09c9c4554112cdf44d543b9d,79ee0f09430b211045ac02fe59fd20e82badb2caee73c70235cb3f255ff5563f
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,2,md_charger_derating_day2,1,1,gurobi,ok/optimal,0.019994373652,0.02,900.0,True,3.31084,522.9870021975239,533.657142506812,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_2.xlsx,f81e25255f4276dd34b310673da9340338c0c0f837d7ad8a9525304be434c037,f610fd382ad2e77f89dd9b223d2e9a7e4b808e7e29e9cef2b828c614d678a872
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,2,md_charger_derating_day2,2,1,gurobi,ok/optimal,0.019971380133,0.02,900.0,True,3.743959,521.7072999220431,532.3388412806539,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_2.xlsx,f81e25255f4276dd34b310673da9340338c0c0f837d7ad8a9525304be434c037,f610fd382ad2e77f89dd9b223d2e9a7e4b808e7e29e9cef2b828c614d678a872
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,3,md_charger_derating_day3,1,1,gurobi,ok/optimal,0.01824995444,0.02,900.0,True,1.623379,510.5894536899866,520.0809065395094,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_3.xlsx,d0afe31170a9a34b266834ce2a54a0349958b7639b9cf35aec2c57bdc4bfe0fd,c0da3ac196079dd3fb48ae63cf9998d7b8acab7ae9eb1995978ddaa7e84eb472
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,3,md_charger_derating_day3,2,1,gurobi,ok/optimal,0.012139600623,0.02,900.0,True,2.000929,508.2591049568207,514.5049900544959,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_3.xlsx,d0afe31170a9a34b266834ce2a54a0349958b7639b9cf35aec2c57bdc4bfe0fd,c0da3ac196079dd3fb48ae63cf9998d7b8acab7ae9eb1995978ddaa7e84eb472
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,3,md_charger_derating_day3,3,31,gurobi,ok/optimal,0.0,0.02,900.0,True,1.003881,249.9999875306858,249.9999875306858,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_3.xlsx,d0afe31170a9a34b266834ce2a54a0349958b7639b9cf35aec2c57bdc4bfe0fd,c0da3ac196079dd3fb48ae63cf9998d7b8acab7ae9eb1995978ddaa7e84eb472
md_nominal__selfish__scheduled_daily_replan__r001,nominal,selfish,oracle_event_trigger,scheduled_daily_replan,2,md_nominal_day2,1,1,gurobi,ok/optimal,0.019978310985,0.02,900.0,True,2.654275,531.3894644607024,542.2221471389646,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_nominal__selfish__scheduled_daily_replan__r001\day_2.xlsx,be2b2fc28eff18d423d35b277042d023b7cb2587c6623c64c89bc51a4e532234,efd39beebc80cb934e817576a3ea928ac7f4e2ef147264703dff4d2ebc6f19b2
md_nominal__selfish__scheduled_daily_replan__r001,nominal,selfish,oracle_event_trigger,scheduled_daily_replan,2,md_nominal_day2,2,1,gurobi,ok/optimal,0.019544339056,0.02,900.0,True,2.628466,530.2221563307437,540.7915701362398,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_nominal__selfish__scheduled_daily_replan__r001\day_2.xlsx,be2b2fc28eff18d423d35b277042d023b7cb2587c6623c64c89bc51a4e532234,efd39beebc80cb934e817576a3ea928ac7f4e2ef147264703dff4d2ebc6f19b2
md_nominal__selfish__scheduled_daily_replan__r001,nominal,selfish,oracle_event_trigger,scheduled_daily_replan,3,md_nominal_day3,1,1,gurobi,aborted/maxtimelimit/incumbent,0.054962526509,0.02,900.0,False,900.670421,504.0198099827803,533.3331472254067,False,results\revision\multiday_nominal_selfish_900s_v1\runs\md_nominal__selfish__scheduled_daily_replan__r001\day_3.xlsx,8b91c2e1378e5bc7a0ee30769c13d7c13d1b2ede60c536fc5eab4753b1140c2b,2281aa22adb6bef4a2c16d8758b2362560a27646f57c02d23adfb39c40660ea1
