case,variant,mode,configuration,method,run_family,n_runs,n_complete,n_feasible,complete_rate,feasibility_rate,revenue_neutrality_compliance_rate,realized_aggregator_revenue_mean,realized_aggregator_revenue_std,realized_aggregator_revenue_ci95_low,realized_aggregator_revenue_ci95_high,realized_pto_cost_mean,realized_pto_cost_std,realized_pto_cost_ci95_low,realized_pto_cost_ci95_high,realized_grid_net_cost_mean,realized_grid_net_cost_std,realized_grid_net_cost_ci95_low,realized_grid_net_cost_ci95_high,realized_buy_kwh_mean,realized_buy_kwh_std,realized_buy_kwh_ci95_low,realized_buy_kwh_ci95_high,realized_sell_kwh_mean,realized_sell_kwh_std,realized_sell_kwh_ci95_low,realized_sell_kwh_ci95_high,downward_flexibility_cheap_buy_kwh_mean,downward_flexibility_cheap_buy_kwh_std,downward_flexibility_cheap_buy_kwh_ci95_low,downward_flexibility_cheap_buy_kwh_ci95_high,upward_flexibility_expensive_sell_kwh_mean,upward_flexibility_expensive_sell_kwh_std,upward_flexibility_expensive_sell_kwh_ci95_low,upward_flexibility_expensive_sell_kwh_ci95_high,price_aligned_flexibility_kwh_mean,price_aligned_flexibility_kwh_std,price_aligned_flexibility_kwh_ci95_low,price_aligned_flexibility_kwh_ci95_high,cheap_period_buy_share_mean,cheap_period_buy_share_std,cheap_period_buy_share_ci95_low,cheap_period_buy_share_ci95_high,expensive_period_sell_share_mean,expensive_period_sell_share_std,expensive_period_sell_share_ci95_low,expensive_period_sell_share_ci95_high,energy_weighted_average_buy_grid_price_mean,energy_weighted_average_buy_grid_price_std,energy_weighted_average_buy_grid_price_ci95_low,energy_weighted_average_buy_grid_price_ci95_high,energy_weighted_average_sell_grid_price_mean,energy_weighted_average_sell_grid_price_std,energy_weighted_average_sell_grid_price_ci95_low,energy_weighted_average_sell_grid_price_ci95_high,peak_net_import_kwh_per_interval_mean,peak_net_import_kwh_per_interval_std,peak_net_import_kwh_per_interval_ci95_low,peak_net_import_kwh_per_interval_ci95_high,peak_net_import_kw_mean,peak_net_import_kw_std,peak_net_import_kw_ci95_low,peak_net_import_kw_ci95_high,peak_net_export_kwh_per_interval_mean,peak_net_export_kwh_per_interval_std,peak_net_export_kwh_per_interval_ci95_low,peak_net_export_kwh_per_interval_ci95_high,revenue_neutrality_floor_mean,revenue_neutrality_floor_std,revenue_neutrality_floor_ci95_low,revenue_neutrality_floor_ci95_high,revenue_neutrality_shortfall_mean,revenue_neutrality_shortfall_std,revenue_neutrality_shortfall_ci95_low,revenue_neutrality_shortfall_ci95_high,maximum_reserve_shortfall_kwh_mean,maximum_reserve_shortfall_kwh_std,maximum_reserve_shortfall_kwh_ci95_low,maximum_reserve_shortfall_kwh_ci95_high,minimum_observed_soc_fraction_mean,minimum_observed_soc_fraction_std,minimum_observed_soc_fraction_ci95_low,minimum_observed_soc_fraction_ci95_high,terminal_minimum_soc_fraction_mean,terminal_minimum_soc_fraction_std,terminal_minimum_soc_fraction_ci95_low,terminal_minimum_soc_fraction_ci95_high,optimizer_calls_mean,optimizer_calls_std,optimizer_calls_ci95_low,optimizer_calls_ci95_high,evaluator_accepted_optimizer_calls_mean,evaluator_accepted_optimizer_calls_std,evaluator_accepted_optimizer_calls_ci95_low,evaluator_accepted_optimizer_calls_ci95_high,forced_optimizer_selections_mean,forced_optimizer_selections_std,forced_optimizer_selections_ci95_low,forced_optimizer_selections_ci95_high,llm_total_tokens_mean,llm_total_tokens_std,llm_total_tokens_ci95_low,llm_total_tokens_ci95_high,llm_latency_seconds_mean,llm_latency_seconds_std,llm_latency_seconds_ci95_low,llm_latency_seconds_ci95_high,llm_approximate_cost_usd_mean,llm_approximate_cost_usd_std,llm_approximate_cost_usd_ci95_low,llm_approximate_cost_usd_ci95_high,run_wall_seconds_mean,run_wall_seconds_std,run_wall_seconds_ci95_low,run_wall_seconds_ci95_high,run_process_cpu_seconds_mean,run_process_cpu_seconds_std,run_process_cpu_seconds_ci95_low,run_process_cpu_seconds_ci95_high,run_peak_rss_mb_mean,run_peak_rss_mb_std,run_peak_rss_mb_ci95_low,run_peak_rss_mb_ci95_high,mode_aligned_economic_score_mean,mode_aligned_economic_score_std,mode_aligned_economic_score_ci95_low,mode_aligned_economic_score_ci95_high,mode_aligned_economic_score_mean_feasible_only
aw_charger_bank_shutdown,uncertain_chat,altruistic,deterministic_pricing_substitution,deterministic_price_zone_ablation,secondary_role_ablation,5,5,5,1.0,1.0,1.0,9.397801588659386,0.0,9.397801588659386,9.397801588659386,125.13447188838691,1.5888218580782548e-14,125.13447188838691,125.13447188838691,115.7366702997275,0.0,115.7366702997275,115.7366702997275,2000.0,0.0,2000.0,2000.0,400.0,0.0,400.0,400.0,1900.0,0.0,1900.0,1900.0,400.0,0.0,400.0,400.0,2300.0,0.0,2300.0,2300.0,0.95,0.0,0.95,0.95,1.0,0.0,1.0,1.0,0.08213917711171662,0.0,0.08213917711171662,0.08213917711171662,0.1213542098092643,0.0,0.1213542098092643,0.1213542098092643,500.0,0.0,500.0,500.0,1000.0,0.0,1000.0,1000.0,100.0,0.0,100.0,100.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.20484082191780822,3.1031676915590914e-17,0.20484082191780822,0.20484082191780822,3.8,0.4472135954999579,3.4,4.0,1.2,0.4472135954999579,1.0,1.6,0.8,0.4472135954999579,0.4,1.0,119074.6,6556.336347381821,113105.2,122445.4,39.3979032,10.314450026978253,33.936043000000005,48.6919978,0.024248048,0.0016449252989330545,0.022742084000000003,0.02532852,65.27012020000001,10.176080689053608,58.441936999999996,74.43566560000001,49.14375,7.805930049988437,42.446875,54.646875,355.58979999999997,11.106730378468713,346.7336,363.957,-125.13447188838691,1.5888218580782548e-14,-125.13447188838691,-125.13447188838691,-125.13447188838691
aw_charger_bank_shutdown,uncertain_chat,altruistic,evaluator_removal,evaluator_ablation,secondary_role_ablation,5,5,5,1.0,1.0,1.0,9.447384222637586,0.07108345301253174,9.397801588659386,9.508877011029957,125.18405452236509,0.07108345301252587,125.13447188838691,125.24554731075746,115.7366702997275,0.0,115.7366702997275,115.7366702997275,2000.0,0.0,2000.0,2000.0,400.0,0.0,400.0,400.0,1900.0,0.0,1900.0,1900.0,400.0,0.0,400.0,400.0,2300.0,0.0,2300.0,2300.0,0.95,0.0,0.95,0.95,1.0,0.0,1.0,1.0,0.08213917711171662,0.0,0.08213917711171662,0.08213917711171662,0.1213542098092643,0.0,0.1213542098092643,0.1213542098092643,500.0,0.0,500.0,500.0,1000.0,0.0,1000.0,1000.0,120.0,44.721359549995796,100.0,160.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.20484082191780822,3.1031676915590914e-17,0.20484082191780822,0.20484082191780822,3.2,0.44721359549995787,3.0,3.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,90555.6,4533.870675261923,88379.2,94619.8,36.3445074,2.6854176905437437,34.8524442,38.7909668,0.015823554,0.0017505972018656954,0.014461923999999998,0.017185184,58.240748399999994,5.74386859153988,55.2202676,63.4600272,40.353125,8.069685509284113,35.1,47.66875,353.5134,10.89841212287368,346.03360000000004,363.005,-125.18405452236509,0.07108345301252587,-125.24554731075746,-125.13447188838691,-125.18405452236509
aw_charger_bank_shutdown,uncertain_chat,altruistic,full_agentic,full_agentic,secondary_role_ablation,5,5,5,1.0,1.0,1.0,9.418961015166198,0.047313916034142194,9.397801588659386,9.46127986817982,124.94867218682832,0.4154607628841574,124.57707278371115,125.13447188838691,115.5297111716621,0.462774678918321,115.1157929155313,115.7366702997275,2000.0,0.0,2000.0,2000.0,400.0,0.0,400.0,400.0,1920.0,44.721359549995796,1900.0,1960.0,400.0,0.0,400.0,400.0,2320.0,44.721359549995796,2300.0,2360.0,0.96,0.022360679774997918,0.95,0.9800000000000001,1.0,0.0,1.0,1.0,0.08203569754768392,0.00023138733945915124,0.08182873841961853,0.08213917711171662,0.1213542098092643,0.0,0.1213542098092643,0.1213542098092643,500.0,0.0,500.0,500.0,1000.0,0.0,1000.0,1000.0,120.0,44.721359549995796,100.0,160.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.20484082191780822,3.1031676915590914e-17,0.20484082191780822,0.20484082191780822,3.8,0.4472135954999579,3.4,4.0,1.2,0.4472135954999579,1.0,1.6,0.8,0.4472135954999579,0.4,1.0,157476.4,12182.951891885645,146551.0,163299.2,60.5475714,9.492980727513793,52.08668560000001,66.7503972,0.034898314,0.0037296208438566507,0.031541402,0.03675155,86.10131559999999,12.59201147494509,74.9503302,93.91819559999999,47.81875,8.242062350945606,40.509375,53.553125,364.5546,9.62353208546633,355.8126,369.41,-124.94867218682832,0.4154607628841574,-125.13447188838691,-124.57707278371115,-124.94867218682832
aw_charger_bank_shutdown,uncertain_chat,altruistic,rule_parser_trigger_substitution,rule_trigger_ablation,secondary_role_ablation,5,5,0,1.0,0.0,0.4,6.561527453878083,2.4978297614594784,4.737370294873325,8.38568461288284,157.44758084773716,3.3693473996835177,154.98695675819013,159.9082049372842,150.88605339385907,5.867177161141483,146.6012724734963,155.17083431422185,1899.9999608521612,5.3605386017042854e-05,1899.9999217043223,1900.0,40.0,54.772255750516614,0.0,80.0,1859.9999608521612,54.772220013607345,1819.9999804260806,1899.9999412782422,40.0,54.772255750516614,0.0,80.0,1899.9999608521612,5.3605385767967476e-05,1899.9999217043228,1900.0,0.9789473684210526,0.02882750302658772,0.9578947368421051,1.0,1.0,0.0,1.0,1.0,0.08198480018486132,0.00043261524266922414,0.08166886266715559,0.08230073770256705,0.12212659400544962,0.0,0.12212659400544962,0.12212659400544962,500.0,0.0,500.0,500.0,1000.0,0.0,1000.0,1000.0,40.0,54.772255750516614,0.0,80.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,2.686131683955743,2.4520915262199217,0.8953770091925641,4.476886358718922,107.8528,99.8555733200456,34.9286,180.777,0.11555189041095888,0.023540665338648074,0.09836021917808216,0.1327435616438356,0.11555189041095888,0.023540665338648074,0.09836021917808216,0.1327435616438356,4.0,0.0,4.0,4.0,0.4,0.5477225575051662,0.0,0.8,1.6,0.5477225575051661,1.2,2.0,100812.4,537.6711820434493,100404.4,101238.6,45.268254600000006,3.1087911080083526,42.910237800000004,47.62627139999999,0.02404257,0.0014859256137505672,0.022949372,0.025253989999999997,185.4362832,2.8534370662122885,183.29923300000002,187.57333340000002,1276.028125,44.33827898552714,1241.28125,1310.775,691.965,57.48851901466935,648.087,735.8429999999998,-157.44758084773716,3.3693473996835177,-159.9082049372842,-154.98695675819013,
aw_combined_evening,uncertain_chat,altruistic,deterministic_pricing_substitution,deterministic_price_zone_ablation,secondary_role_ablation,5,5,5,1.0,1.0,1.0,12.15193135986427,0.0,12.15193135986427,12.15193135986427,122.2409120957739,0.0,122.2409120957739,122.2409120957739,110.0889807359096,0.0,110.0889807359096,110.0889807359096,1800.000559314476,0.0,1800.000559314476,1800.000559314476,295.1237999999957,0.0,295.1237999999957,295.1237999999957,1800.0005593144756,0.0,1800.0005593144756,1800.0005593144756,295.1237999999957,0.0,295.1237999999957,295.1237999999957,2095.1243593144713,0.0,2095.1243593144713,2095.1243593144713,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08110247535470216,0.0,0.08110247535470216,0.08110247535470216,0.12162868689120745,0.0,0.12162868689120745,0.12162868689120745,720.0,0.0,720.0,720.0,1440.0,0.0,1440.0,1440.0,200.0,0.0,200.0,200.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2104791780821918,0.0,0.2104791780821918,0.2104791780821918,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,105092.6,469.9226532100788,104707.8,105433.4,39.2136292,2.7542013824071936,36.885278400000004,41.3132664,0.018570112,0.0016192306506393717,0.01730686,0.019833364,51.5007886,3.427992161656339,48.7830484,54.063390600000005,13.265625,2.216355442006652,12.11875,15.24375,320.6352,12.759712818084893,309.164,327.97360000000003,-122.2409120957739,0.0,-122.2409120957739,-122.2409120957739,-122.2409120957739
aw_combined_evening,uncertain_chat,altruistic,evaluator_removal,evaluator_ablation,secondary_role_ablation,5,5,5,1.0,1.0,1.0,13.157005927265866,2.247415055166163,12.15193135986427,15.16715506206906,123.2459866631755,2.247415055166175,122.2409120957739,125.25613579797869,110.0889807359096,4.973799150320701e-14,110.0889807359096,110.08898073590967,1800.000559314476,0.0,1800.000559314476,1800.000559314476,295.1237999999955,4.0693694993695867e-13,295.1237999999952,295.1237999999957,1800.0005593144756,0.0,1800.0005593144756,1800.0005593144756,295.1237999999955,3.8131724593878115e-13,295.1237999999952,295.1237999999957,2095.124359314471,5.084229945850415e-13,2095.124359314471,2095.1243593144713,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08110247535470216,0.0,0.08110247535470216,0.08110247535470216,0.12162868689120747,1.3877787807814457e-17,0.12162868689120745,0.12162868689120747,720.0,0.0,720.0,720.0,1440.0,0.0,1440.0,1440.0,200.0,0.0,200.0,200.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2104791780821918,0.0,0.2104791780821918,0.2104791780821918,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,89100.0,1162.3848330049734,88423.8,90174.4,38.169581799999996,1.6528337143685077,36.945183400000005,39.52604099999999,0.01609402,0.0014754158292664481,0.01479422475,0.01712565,46.4289422,1.6372978324680885,45.209626,47.6728038,9.23125,0.14422475949017907,9.128125,9.35625,324.5492,4.892433617331981,321.28299999999996,328.66540000000003,-123.2459866631755,2.247415055166175,-125.25613579797869,-122.2409120957739,-123.2459866631755
aw_combined_evening,uncertain_chat,altruistic,full_agentic,full_agentic,secondary_role_ablation,5,5,5,1.0,1.0,1.0,11.290438873520046,0.4815889403927486,11.07506575193399,11.721185116692158,121.37941960942942,0.4815889403928916,121.16404648784331,121.81016585260166,110.08898073590937,1.3406493525361332e-13,110.0889807359093,110.08898073590949,1800.000559314476,0.0,1800.000559314476,1800.000559314476,295.1237999999976,1.0423446395232218e-12,295.12379999999666,295.123799999998,1800.0005593144756,0.0,1800.0005593144756,1800.0005593144756,295.1237999999976,1.0423446395232218e-12,295.12379999999666,295.123799999998,2095.124359314473,1.016845989170083e-12,2095.1243593144727,2095.1243593144736,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08110247535470216,0.0,0.08110247535470216,0.08110247535470216,0.12162868689120745,0.0,0.12162868689120745,0.12162868689120745,720.0,0.0,720.0,720.0,1440.0,0.0,1440.0,1440.0,200.0,0.0,200.0,200.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2104791780821918,0.0,0.2104791780821918,0.2104791780821918,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,131805.2,651.2286080939626,131360.0,132378.6,55.65501919999999,1.4097937235573503,54.4358748,56.593147599999995,0.025653831999999998,0.0019967150310622687,0.0241541,0.027226516,67.0564646,1.5674832565692067,65.70849719999998,68.0679116,12.65625,0.5555121510822243,12.334375,13.14375,328.4062,4.005082920489909,325.19359999999995,331.12980000000005,-121.37941960942942,0.4815889403928916,-121.81016585260166,-121.16404648784331,-121.37941960942942
aw_combined_evening,uncertain_chat,altruistic,rule_parser_trigger_substitution,rule_trigger_ablation,secondary_role_ablation,5,5,5,1.0,1.0,1.0,11.290438873520047,0.48158894039275335,11.07506575193399,11.721185116692164,121.37941960942928,0.4815889403928026,121.1640464878432,121.81016585260143,110.08898073590925,8.903074960742904e-14,110.08898073590919,110.08898073590933,1800.000559314476,0.0,1800.000559314476,1800.000559314476,295.1237999999985,5.339954392427426e-13,295.123799999998,295.1237999999987,1800.0005593144756,0.0,1800.0005593144756,1800.0005593144756,295.1237999999984,5.084229945850415e-13,295.12379999999797,295.12379999999865,2095.124359314474,4.547473508864641e-13,2095.1243593144736,2095.124359314474,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08110247535470216,0.0,0.08110247535470216,0.08110247535470216,0.12162868689120745,1.3877787807814457e-17,0.12162868689120745,0.12162868689120745,720.0,0.0,720.0,720.0,1440.0,0.0,1440.0,1440.0,180.0,44.721359549995796,140.0,200.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2104791780821918,0.0,0.2104791780821918,0.2104791780821918,3.0,0.0,3.0,3.0,1.2,0.4472135954999579,1.0,1.6,0.8,0.4472135954999579,0.4,1.0,58351.2,185.92794303170245,58200.2,58490.8,30.024235599999997,0.8468831042489274,29.513553199999997,30.7816694,0.013138612,0.0007553056417570306,0.012596886000000002,0.013724502,42.8632658,2.839484242036518,40.808254999999996,45.2967254,13.840625,2.770771165499327,12.11875,16.35,320.1962,4.611563747797481,316.71899999999994,323.5844,-121.37941960942928,0.4815889403928026,-121.81016585260143,-121.1640464878432,-121.37941960942928
aw_route6_late_return,uncertain_chat,altruistic,deterministic_pricing_substitution,deterministic_price_zone_ablation,secondary_role_ablation,5,5,5,1.0,1.0,1.0,9.4666679269491,0.0,9.4666679269491,9.4666679269491,123.71009962788098,1.5888218580782548e-14,123.71009962788098,123.71009962788098,114.2434317009319,0.0,114.2434317009319,114.2434317009319,2000.0,0.0,2000.0,2000.0,395.1886,0.0,395.1886,395.1886,2000.0,0.0,2000.0,2000.0,395.1886,0.0,395.1886,395.1886,2395.1886,0.0,2395.1886,2395.1886,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08110247411444141,0.0,0.08110247411444141,0.08110247411444141,0.12136361354540832,1.5515838457795457e-17,0.12136361354540832,0.12136361354540832,800.0,0.0,800.0,800.0,1600.0,0.0,1600.0,1600.0,200.0,0.0,200.0,200.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.20484082191780822,3.1031676915590914e-17,0.20484082191780822,0.20484082191780822,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,79655.2,44.885409656145505,79615.2,79686.4,24.9647388,0.23900307945756727,24.780150600000002,25.150461999999997,0.015335419999999999,6.198184209911772e-05,0.015285710000000003,0.01537817,37.2674956,0.3117389527237508,37.038093200000006,37.496898,19.296875,0.23722228829201525,19.115625,19.478125,334.16580000000005,1.825970070948601,332.608,335.479,-123.71009962788098,1.5888218580782548e-14,-123.71009962788098,-123.71009962788098,-123.71009962788098
aw_route6_late_return,uncertain_chat,altruistic,evaluator_removal,evaluator_ablation,secondary_role_ablation,5,5,5,1.0,1.0,1.0,9.468613606867178,0.004350672559281045,9.4666679269491,9.472504966703337,123.62690719649554,0.1860239317913724,123.46052233372461,123.71009962788098,114.15829358962836,0.1903746043506558,113.98801736702129,114.2434317009319,2000.0,0.0,2000.0,2000.0,396.15088,2.151723493388494,395.1886,398.07543999999996,2000.0,0.0,2000.0,2000.0,396.15088,2.151723493388494,395.1886,398.07543999999996,2396.1508799999997,2.1517234933885194,2395.1886,2398.0754399999996,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08110247411444141,0.0,0.08110247411444141,0.08110247411444141,0.12128449437856097,0.00017691583539378405,0.1211262560448663,0.12136361354540832,800.0,0.0,800.0,800.0,1600.0,0.0,1600.0,1600.0,220.0,44.721359549995796,200.0,260.0,9.214256653592248,0.0,9.214256653592248,9.214256653592248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.20484082191780822,3.1031676915590914e-17,0.20484082191780822,0.20484082191780822,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66623.6,330.77001073253297,66371.0,66876.2,26.248012999999997,1.878704250523216,24.6652136,27.593814200000004,0.01245849,0.0002673733695602463,0.01223094,0.01265559,38.93482780000001,2.3646385665914567,37.1029228,40.6800884,20.4,2.53983401739907,19.080859375000003,22.703125,337.11560000000003,5.231338528522119,333.8276,341.66240000000005,-123.62690719649554,0.1860239317913724,-123.71009962788098,-123.46052233372461,-123.62690719649554
