run_id,configuration,case,variant,mode,repetition,workbook,timestep,attempt_count,objective_metric,best_usable_attempt,best_usable_economic_attempt,selected_attempt,evaluator_accepted_attempt,best_usable_objective,best_usable_candidate_objective,selected_objective,selected_is_best_usable_candidate,selected_is_best_usable_objective,selected_objective_regret,accepted_rerun_worse_than_earlier_usable_attempt,accepted_rerun_economically_worse_than_earlier_usable_attempt,rejected_negative_pto_cost_count,no_op_rejection_feedback_count
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r001,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,1,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_001.xlsx,36,1,projected_full_day_pto_cost,1,1,1,1.0,110.100593,110.100593,110.100593,True,True,0.0,False,False,0,0
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r001,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,1,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_001.xlsx,40,1,projected_full_day_pto_cost,1,1,1,1.0,110.100595,110.100595,110.100595,True,True,0.0,False,False,0,0
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r002,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,2,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_002.xlsx,36,1,projected_full_day_pto_cost,1,1,1,1.0,110.100593,110.100593,110.100593,True,True,0.0,False,False,0,0
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r002,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,2,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_002.xlsx,40,1,projected_full_day_pto_cost,1,1,1,1.0,110.100595,110.100595,110.100595,True,True,0.0,False,False,0,0
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r003,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,3,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_003.xlsx,36,1,projected_full_day_pto_cost,1,1,1,1.0,110.100593,110.100593,110.100593,True,True,0.0,False,False,0,0
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r003,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,3,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_003.xlsx,40,1,projected_full_day_pto_cost,1,1,1,1.0,110.100595,110.100595,110.100595,True,True,0.0,False,False,0,0
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r004,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,4,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_004.xlsx,36,1,projected_full_day_pto_cost,1,1,1,1.0,110.100593,110.100593,110.100593,True,True,0.0,False,False,0,0
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r004,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,4,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_004.xlsx,40,1,projected_full_day_pto_cost,1,1,1,1.0,110.100595,110.100595,110.100595,True,True,0.0,False,False,0,0
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r005,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,5,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_005.xlsx,36,1,projected_full_day_pto_cost,1,1,1,1.0,110.100593,110.100593,110.100593,True,True,0.0,False,False,0,0
aw_clustered_late_returns__altruistic__uncertain_chat__agent_trigger_only__r005,agent_trigger_only,aw_clustered_late_returns,uncertain_chat,altruistic,5,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/agent_trigger_only_rep_005.xlsx,40,1,projected_full_day_pto_cost,1,1,1,1.0,110.100595,110.100595,110.100595,True,True,0.0,False,False,0,0
