configuration,mode,scope,optimizer_attempts,buy_multiplier_values,buy_multiplier_min,buy_multiplier_mean,buy_multiplier_max,sell_multiplier_values,sell_multiplier_min,sell_multiplier_mean,sell_multiplier_max,mean_reference_buy_arithmetic_mean,mean_chosen_buy_arithmetic_mean,mean_buy_arithmetic_mean_gap,mean_reference_sell_arithmetic_mean,mean_chosen_sell_arithmetic_mean,mean_sell_arithmetic_mean_gap,mean_buy_centered_temporal_mae,mean_sell_centered_temporal_mae,mean_chosen_buy_dispatch_weighted_mean,mean_chosen_sell_dispatch_weighted_mean
agent_trigger_only,altruistic,all_attempts,24,532,1.01,1.0205263157894735,1.05,532,0.82,0.8792105263157894,0.96,1.0285267857142857,1.0239508928571428,-0.004575892857142874,0.8848437499999999,0.8848437499999999,0.0,0.004745960884353744,0.0,1.0199999999999998,0.9599999993617563
agent_trigger_only,altruistic,initial_attempts,17,316,1.01,1.0277215189873417,1.05,316,0.82,0.8820253164556963,0.96,1.0296953781512606,1.0296953781512606,0.0,0.8889338235294116,0.8889338235294116,0.0,0.0,0.0,1.03,0.9599999990989501
agent_trigger_only,selfish,all_attempts,28,564,1.09,1.1187943262411346,1.18,564,0.58,0.6507801418439716,0.74,1.1191326530612244,1.1155612244897959,-0.0035714285714285752,0.6487542517006804,0.6558971088435375,0.0071428571428571504,0.0,0.0,,0.7271428571428488
agent_trigger_only,selfish,initial_attempts,18,344,1.1,1.122093023255814,1.18,344,0.58,0.643139534883721,0.72,1.117261904761905,1.117261904761905,0.0,0.6502612433862435,0.6502612433862435,0.0,0.0,0.0,,0.7199999999999874
numerical_event_trigger,altruistic,all_attempts,1,8,1.01,1.0350000000000001,1.05,8,0.82,0.9075,0.96,1.035,1.035,0.0,0.9075,0.9075,0.0,0.0,0.0,,0.96
numerical_event_trigger,altruistic,initial_attempts,1,8,1.01,1.0350000000000001,1.05,8,0.82,0.9075,0.96,1.035,1.035,0.0,0.9075,0.9075,0.0,0.0,0.0,,0.96
numerical_event_trigger,selfish,all_attempts,2,16,1.09,1.0950000000000002,1.1,16,0.58,0.6799999999999999,0.74,1.1,1.0950000000000002,-0.005000000000000005,0.6699999999999999,0.6799999999999999,0.01000000000000001,0.0,0.0,,0.73
numerical_event_trigger,selfish,initial_attempts,1,8,1.1,1.1,1.1,8,0.58,0.6699999999999999,0.72,1.1,1.1,0.0,0.6699999999999999,0.6699999999999999,0.0,0.0,0.0,,0.72
oracle_event_trigger,altruistic,all_attempts,3,76,1.01,1.0200000000000002,1.05,76,0.82,0.8789473684210524,0.96,1.0275,1.0220833333333335,-0.005416666666666701,0.88125,0.88125,0.0,0.00541666666666667,0.0,1.02,0.95999999897881
oracle_event_trigger,altruistic,initial_attempts,2,44,1.01,1.0272727272727271,1.05,44,0.82,0.8804545454545454,0.96,1.0281250000000002,1.0281250000000002,0.0,0.8834375,0.8834375,0.0,0.0,0.0,1.03,0.959999998468215
oracle_event_trigger,selfish,all_attempts,4,88,1.09,1.1186363636363637,1.18,88,0.58,0.6527272727272727,0.74,1.1225,1.1175000000000002,-0.005000000000000005,0.6460416666666666,0.6560416666666666,0.01000000000000001,0.0,0.0,,0.7299999999999887
oracle_event_trigger,selfish,initial_attempts,2,44,1.1,1.1236363636363635,1.18,44,0.58,0.6427272727272727,0.72,1.1225,1.1225,0.0,0.6460416666666666,0.6460416666666666,0.0,0.0,0.0,,0.7199999999999773
rule_text_event_trigger,altruistic,all_attempts,3,52,1.01,1.0246153846153845,1.05,52,0.82,0.8873076923076924,0.96,1.0314166666666666,1.0234166666666666,-0.008000000000000007,0.8949583333333333,0.8949583333333333,0.0,0.0042666666666666695,0.0,,0.959999999999951
rule_text_event_trigger,altruistic,initial_attempts,2,42,1.01,1.0280952380952382,1.05,42,0.82,0.8833333333333332,0.96,1.030125,1.030125,0.0,0.8904375,0.8904375,0.0,0.0,0.0,,0.9599999999999755
rule_text_event_trigger,selfish,all_attempts,4,84,1.09,1.1159523809523808,1.18,84,0.58,0.6557142857142857,0.74,1.1165,1.1115000000000002,-0.005000000000000005,0.6533749999999999,0.6633749999999999,0.01000000000000001,0.0,0.0,1.1,0.729999999999998
rule_text_event_trigger,selfish,initial_attempts,2,42,1.1,1.120952380952381,1.18,42,0.58,0.6457142857142857,0.72,1.1165,1.1165,0.0,0.6533749999999999,0.6533749999999999,0.0,0.0,0.0,1.1,0.719999999999996
