run_id,run_family,configuration,method,case,variant,mode,repetition,stochastic,uses_external_llm,model,reused_complete_workbook,workbook,workbook_sha256,solver_names,solver_fallback_errors,status,timesteps_completed,optimizer_calls,maximum_pricing_reruns,maximum_optimizer_attempts_per_trigger,agent_role_provenance,accepted_optimizer_calls,evaluator_accepted_optimizer_calls,forced_optimizer_selections,retained_better_candidate_selections,optimize_decisions,realized_pto_cost,realized_aggregator_revenue,baseline_aggregator_revenue_reference,baseline_revenue_retention_fraction,baseline_revenue_retention_floor,baseline_revenue_retention_shortfall,baseline_revenue_retention_compliant,revenue_neutrality_active,revenue_neutrality_floor,revenue_neutrality_shortfall,revenue_neutrality_compliant,realized_grid_net_cost,realized_buy_kwh,realized_sell_kwh,curtailed_energy_kwh,event_model_mismatch_timesteps,delay_parameter_absolute_error_minutes,return_delay_parameter_absolute_error_minutes,charger_power_absolute_error_kw,charger_availability_mismatch_count,minimum_observed_soc_fraction,terminal_minimum_soc_fraction,maximum_reserve_shortfall_kwh,reserve_violation_timesteps,llm_request_attempts,llm_successful_requests,llm_failed_attempts,llm_input_tokens,llm_cached_input_tokens,llm_cache_write_tokens,llm_uncached_input_tokens,llm_output_tokens,llm_reasoning_tokens,llm_total_tokens,llm_latency_seconds,llm_approximate_cost_usd,run_wall_seconds,run_process_cpu_seconds,run_average_cpu_cores,run_average_cpu_percent_total_capacity,run_logical_cpu_count,run_rss_start_mb,run_rss_end_mb,run_peak_rss_mb,run_peak_rss_delta_mb,run_memory_sampler_available,local_measurement_scope,provider_compute_scope
aw_clustered_late_returns__selfish__uncertain_chat__oracle_event_trigger__r001,primary_trigger_comparison,oracle_event_trigger,oracle,aw_clustered_late_returns,uncertain_chat,selfish,1,False,False,not_used,True,results/revision/extended_disturbances_v3/aw_clustered_late_returns/selfish/uncertain_chat/oracle_event_trigger.xlsx,5a309b69f74a274947c2cdbf0377551be549596d8b82d92be213e1a473007188,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",1,0,1,0,1,129.7162111389354,32.273441656689,,,,,,False,,,,97.44276948224639,1800.0,400.0000000003661,3.175699703206193e-11,0,0,0,0,0,0.1848109589041096,0.1848109589041096,6.353999999999999,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.256194,11.46875,1.239035,7.74397,16,105.242,181.199,310.172,204.93,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_clustered_late_returns__selfish__uncertain_chat__numerical_event_trigger__r001,primary_trigger_comparison,numerical_event_trigger,numerical,aw_clustered_late_returns,uncertain_chat,selfish,1,False,False,not_used,True,results/revision/extended_disturbances_v3/aw_clustered_late_returns/selfish/uncertain_chat/numerical_event_trigger.xlsx,a6a306d15e5e2e163cc2fdc2e7040fca8b3c11326acaa7ece47ad2855567cac2,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}}",1,0,1,0,1,129.7162111389646,32.27344165667574,,,,,,False,,,,97.44276948228881,1800.0,400.0,0.0,1,0,180,0,0,0.1977808219178082,0.1977808219178082,0.8100000000000023,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.845638,9.1875,1.038648,6.491547,16,104.559,176.781,298.199,193.641,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_clustered_late_returns__selfish__uncertain_chat__rule_text_event_trigger__r001,primary_trigger_comparison,rule_text_event_trigger,rule_text,aw_clustered_late_returns,uncertain_chat,selfish,1,False,False,not_used,True,results/revision/extended_disturbances_v3/aw_clustered_late_returns/selfish/uncertain_chat/rule_text_event_trigger.xlsx,0626444cc665363c4891db767207cf3882837576ed89b1437d493457bd4d9dd8,[],[],complete,48,0,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",0,0,0,0,0,130.9550044299122,38.90575538359066,,,,,,False,,,,92.04924904632152,1800.0,444.4444444444445,0.0,9,0,1620,0,0,0.1848109589041096,0.1848109589041096,6.353999999999999,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.846442,1.796875,0.973156,6.082223,16,104.875,109.43,109.449,4.574,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_clustered_late_returns__selfish__uncertain_chat__agent_trigger_only__r001,primary_trigger_comparison,agent_trigger_only,agent,aw_clustered_late_returns,uncertain_chat,selfish,1,True,True,gpt-5.6-luna,False,results/revision/extended_disturbances_v3/aw_clustered_late_returns/selfish/uncertain_chat/agent_trigger_only_rep_001.xlsx,fe67b5816fb59911acc5ee3a3f64ca0295c6323fdd134d6f397b77cb321976cd,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,129.7162111389646,32.27344165667574,,,,,,False,,,,97.44276948228881,1800.0,400.0,0.0,1,0,180,0,0,0.1977808219178082,0.1977808219178082,1.200000000000003,1,4,4,0,45366,16038,29316,12,2245,513,47611,23.073232,0.01034616,35.807361,15.921875,0.444654,2.779086,16,128.906,239.367,354.082,225.176,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_clustered_late_returns__selfish__uncertain_chat__agent_trigger_only__r002,primary_trigger_comparison,agent_trigger_only,agent,aw_clustered_late_returns,uncertain_chat,selfish,2,True,True,gpt-5.6-luna,False,results/revision/extended_disturbances_v3/aw_clustered_late_returns/selfish/uncertain_chat/agent_trigger_only_rep_002.xlsx,9fcd72f929247d6ea535bd105e3155533a14d006e5f4375a3e7ebb165590b53e,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,129.7162111389646,32.27344165667574,,,,,,False,,,,97.44276948228881,1800.0,400.0,0.0,1,0,180,0,0,0.1977808219178082,0.1977808219178082,1.200000000000003,1,4,4,0,45226,27107,18107,12,2023,490,47249,21.39261,0.00749889,34.403092,15.65625,0.455083,2.844267,16,129.383,238.945,353.812,224.43,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_clustered_late_returns__selfish__uncertain_chat__agent_trigger_only__r003,primary_trigger_comparison,agent_trigger_only,agent,aw_clustered_late_returns,uncertain_chat,selfish,3,True,True,gpt-5.6-luna,False,results/revision/extended_disturbances_v3/aw_clustered_late_returns/selfish/uncertain_chat/agent_trigger_only_rep_003.xlsx,0655e9c89fc4c7929e5c9c134b9b4d6e5cdc4fdc826f1a437d3fd3214762517c,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,129.7162111389646,32.27344165667574,,,,,,False,,,,97.44276948228881,1800.0,400.0,0.0,1,0,180,0,0,0.1977808219178082,0.1977808219178082,1.200000000000003,1,4,4,0,45404,27107,18285,12,2370,596,47774,23.158548,0.00795979,36.129478,15.90625,0.440257,2.751605,16,129.156,238.762,351.047,221.891,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_clustered_late_returns__selfish__uncertain_chat__agent_trigger_only__r004,primary_trigger_comparison,agent_trigger_only,agent,aw_clustered_late_returns,uncertain_chat,selfish,4,True,True,gpt-5.6-luna,False,results/revision/extended_disturbances_v3/aw_clustered_late_returns/selfish/uncertain_chat/agent_trigger_only_rep_004.xlsx,ff710f88af5b16e3be5ae62e3de05757f05d60774871de24948a04fe2d17b268,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,129.7162111389646,32.27344165667574,,,,,,False,,,,97.44276948228881,1800.0,400.0,0.0,1,0,180,0,0,0.1977808219178082,0.1977808219178082,1.200000000000003,1,4,4,0,45112,27107,17993,12,2138,615,47250,22.23153,0.00760839,34.937477,16.140625,0.461986,2.887412,16,129.082,236.766,349.547,220.465,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_clustered_late_returns__selfish__uncertain_chat__agent_trigger_only__r005,primary_trigger_comparison,agent_trigger_only,agent,aw_clustered_late_returns,uncertain_chat,selfish,5,True,True,gpt-5.6-luna,False,results/revision/extended_disturbances_v3/aw_clustered_late_returns/selfish/uncertain_chat/agent_trigger_only_rep_005.xlsx,dea1c602cbf7ae17c53623baff6319078089e5c8afbc9edbe60d81551c49542a,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,129.7162111389646,32.27344165667574,,,,,,False,,,,97.44276948228881,1800.0,400.0,0.0,1,0,180,0,0,0.1977808219178082,0.1977808219178082,1.200000000000003,1,4,4,0,45416,27107,18297,12,2168,415,47584,25.337527,0.00772039,38.097016,15.8125,0.415059,2.594117,16,129.613,241.059,350.961,221.348,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_clustered_late_returns__altruistic__uncertain_chat__oracle_event_trigger__r001,primary_trigger_comparison,oracle_event_trigger,oracle,aw_clustered_late_returns,uncertain_chat,altruistic,1,False,False,not_used,False,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/oracle_event_trigger.xlsx,3ca549801514292f7a3f853f7760610826dcfb3c442a5233de9752f0f6578b49,['gurobi'],[],complete,48,1,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",1,1,0,0,1,110.1005949827855,12.65777790623879,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,97.44281707654666,1800.000559314476,400.0,1.750611513693864e-05,0,0,0,0,0,0.1848109589041096,0.1848109589041096,6.353399999999993,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.059556,10.9375,1.805,11.281251,16,105.0,171.238,304.961,199.961,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_clustered_late_returns__altruistic__uncertain_chat__numerical_event_trigger__r001,primary_trigger_comparison,numerical_event_trigger,numerical,aw_clustered_late_returns,uncertain_chat,altruistic,1,False,False,not_used,False,results/revision/extended_disturbances_v3/aw_clustered_late_returns/altruistic/uncertain_chat/numerical_event_trigger.xlsx,ed169a8c8363a28c083be88081e9746887d7f7745b75e5ad54d4732b28eec222,['gurobi'],[],complete,48,1,1,2,"{""evaluator"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}}",1,1,0,0,1,110.1005949827855,12.65777790623879,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,97.44281707654666,1800.000559314476,400.0,0.0,1,0,180,0,0,0.1977824657534247,0.1977824657534247,0.8093999999999966,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.661337,7.03125,1.241977,7.762355,16,104.906,163.961,268.305,163.398,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
