mode,method,day,n_derating_runs,n_nominal_runs,pto_cost_delta_derating_minus_nominal,aggregator_revenue_delta_derating_minus_nominal,grid_net_cost_delta_derating_minus_nominal,buy_kwh_delta_derating_minus_nominal,sell_kwh_delta_derating_minus_nominal,terminal_minimum_soc_fraction_delta_derating_minus_nominal
altruistic,agent,1,5,1,-1.3888893980990247,-5.385210414569682,3.996321016470688,49.999999999999545,5.5548627501377155,0.0035013698630137202
altruistic,numerical,1,1,1,-1.3888893980990247,-5.385210414569682,3.996321016470688,49.999999999999545,5.5548627501377155,0.0035013698630137202
altruistic,oracle,1,1,1,-1.3888893980989963,-5.385210414569682,3.996321016470688,50.0,5.5548627501377155,0.0035013698630136925
altruistic,rule_text,1,1,1,-1.3888893980990247,-5.385210414569682,3.996321016470688,49.999999999999545,5.5548627501377155,0.0035013698630137202
altruistic,agent,2,5,1,-1.871344207278085,0.6041380815602437,-2.4754822888382506,100.00000000004229,100.00000000013426,0.01675424657534244
altruistic,numerical,2,1,1,-1.8713442072780708,0.6041380815602437,-2.4754822888382506,100.00000000004229,100.00000000013426,0.016754246575342413
altruistic,oracle,2,1,1,-1.8713442072780992,0.6041380815602402,-2.4754822888382932,100.00000000004184,100.00000000013426,0.016754246575342413
altruistic,rule_text,2,1,1,-1.8713442072780708,0.6041380815602437,-2.4754822888382506,100.00000000004229,100.00000000013426,0.016754246575342413
altruistic,agent,3,5,1,-1.1094786557520422,-0.9635302374025354,-0.14594841834944816,-199.99992810827598,-100.0,0.02145999999999998
altruistic,numerical,3,1,1,-1.109478655752028,-0.9635302374025354,-0.14594841834944816,-199.99992810827598,-100.0,0.021460000000000007
altruistic,oracle,3,1,1,-1.1094786557519996,-0.9635302374025301,-0.14594841834940553,-199.99992810827598,-100.0,0.02145999999999998
altruistic,rule_text,3,1,1,-1.109478655752028,-0.9635302374025354,-0.14594841834944816,-199.99992810827598,-100.0,0.021460000000000007
selfish,agent,1,5,1,-1.2387932909476547,-6.632313726914916,5.393520435967304,0.0,-44.444444444444514,0.0035013698630137202
selfish,numerical,1,1,1,-1.2387932909476547,-6.632313726914916,5.3935204359672895,0.0,-44.444444444444514,0.0035013698630137202
selfish,oracle,1,1,1,-1.2387932909475978,-6.632313726914916,5.3935204359672895,0.0,-44.444444444444514,0.0035013698630136925
selfish,rule_text,1,1,1,-1.2387932909476547,-6.632313726914923,5.393520435967304,0.0,-44.444444444444514,0.0035013698630137202
selfish,agent,2,5,1,-8.452728855585889,-2.658679809264303,-5.7940490463215895,-150.0,-50.0,0.007002739726027385
selfish,numerical,2,1,1,-8.452728855585889,-2.658679809264303,-5.794049046321575,-150.0,-50.0,0.007002739726027385
selfish,oracle,2,1,1,-8.452728855585917,-2.6586798092642994,-5.794049046321604,-150.0,-50.0,0.007002739726027413
selfish,rule_text,2,1,1,-8.452728855585889,-2.658679809264303,-5.794049046321575,-150.0,-50.0,0.007002739726027385
selfish,agent,3,5,1,-11.971335750954097,-3.9084788984308894,-8.062856852523169,-250.0,-100.00091547385748,0.018732876712328816
selfish,numerical,3,1,1,-11.971335750954097,-3.9084788984308894,-8.062856852523169,-250.0,-100.00091547385748,0.018732876712328816
selfish,oracle,3,1,1,-11.971335750954097,-3.9084788984308894,-8.062856852523197,-250.0,-100.00091547385748,0.018732876712328816
selfish,rule_text,3,1,1,-11.971335750954097,-3.9084788984308894,-8.062856852523169,-250.0,-100.00091547385748,0.018732876712328816
