episode_id,condition,mode,configuration,method,repetition,stochastic,days_completed,operationally_feasible,all_daily_retention_floors_compliant,economic_comparison_eligible,total_realized_pto_cost,total_realized_aggregator_revenue,total_realized_grid_net_cost,total_realized_buy_kwh,total_realized_sell_kwh,minimum_observed_soc_fraction,maximum_reserve_shortfall_kwh,total_baseline_revenue_retention_floor,aggregate_revenue_above_floor,total_optimizer_calls,total_optimize_decisions,llm_successful_requests,llm_total_tokens,llm_approximate_cost_usd,total_run_wall_seconds,solver_names,day_to_day_carryover_max_abs_error_kwh,first_settlement_carryover_max_abs_error_kwh,run_signature_sha256_by_day,initial_day1_energy_kwh_by_bus,terminal_day3_energy_kwh_by_bus
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,1,False,3,True,True,True,382.1359573089459,59.999193051728724,322.1367642572171,4800.0,550.0000246278246,0.2,0.0,,,7.0,4.0,0.0,0.0,0.0,51.976578,"[""gurobi""]",0.0,4.444424904193056e-05,"[""1366ba07e816692c48040ce3bea6d0c5db14277f779c04ce7d98c55b302420a1"", ""34adfb7d276ff6b5185176d2963f1c99e4dfed2553ac57382c5915ed3d8aa7e5"", ""a5885cb1ea4f2fecb3c0a6973bcc6108f2880c47b670914dd1315c5b6931a098""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}"
md_charger_derating__selfish__numerical_event_trigger__r001,derating,selfish,numerical_event_trigger,numerical,1,False,3,True,True,True,382.1359573089459,59.99919305172872,322.1367642572172,4800.0,550.0000246278246,0.2,0.0,0.0,,7.0,4.0,0.0,0.0,0.0,52.027582,"[""gurobi""]",0.0,4.444432657635389e-05,"[""0e7696a38a65ef963f2e254862985683870970092af61e4afa02e34cc96a9f20"", ""bbe18d61e700e60d9e6af302430990001c1f10042d941a5cc30c24885c6e9d7e"", ""7f534e8a4abe0eba274a81f0c7b142d0b64eea1df1c32276abc90011307bf22a""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}"
md_charger_derating__selfish__rule_text_event_trigger__r001,derating,selfish,rule_text_event_trigger,rule_text,1,False,3,True,True,True,382.1359573089459,59.99919305172871,322.1367642572172,4800.0,550.0000246278246,0.2,0.0,0.0,,7.0,4.0,0.0,0.0,0.0,53.15833,"[""gurobi""]",0.0,4.444426154748271e-05,"[""362001026e1f59c8cf7a60227829ab4c340acad738df5314f788bdc56764ddd5"", ""300393b32826d025a1c483c64d797922c47cee70076c85a5fc7e3d1d6f117df4"", ""22daeba15ee2873ed7c7b5181437d5b3dd4847a270f44c841a29902e2b0fca72""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}"
md_charger_derating__selfish__agent_trigger_only__r001,derating,selfish,agent_trigger_only,agent,1,True,3,True,True,True,382.1359573089459,59.99919305172872,322.1367642572172,4800.0,550.0000246278246,0.2,0.0,0.0,,7.0,4.0,8.0,95549.0,0.018578459999999998,92.844634,"[""gurobi""]",0.0,4.444424904193056e-05,"[""051f71d0f6463d11a9d4c3fa59507341c5cd324a310d6dde3e0baa3aad8743b7"", ""e667a2db467d3fc7e0c6cd9b0832a849975ae4c80bb1ba4a2968415b6c6c42f4"", ""3503fcb6775fdf393b4ed9a3d9e3343332c9dd1c31b0356d4ae9fee6081f2c4b""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}"
md_charger_derating__selfish__agent_trigger_only__r002,derating,selfish,agent_trigger_only,agent,2,True,3,True,True,True,382.1359573089459,59.99919305172871,322.1367642572172,4800.0,550.0000246278246,0.2,0.0,0.0,,7.0,4.0,8.0,95659.0,0.01437686,96.598784,"[""gurobi""]",0.0,4.444426154748271e-05,"[""7ba6944d657a12f71063bfccffacb9730a5133a3c95d62c85a226872b90d4173"", ""5316986572c6ecf7c8b01396dac991487f861c80f7253ee1cf2c33830e3df9b0"", ""a3036fa261c3f71b0af6ca5ee403be43d3535fa9ae4282df36ed9caf91308c4f""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}"
md_charger_derating__selfish__agent_trigger_only__r003,derating,selfish,agent_trigger_only,agent,3,True,3,True,True,True,382.1359573089459,59.99919305172871,322.1367642572172,4800.0,550.0000246278246,0.2,0.0,0.0,,7.0,4.0,8.0,95728.0,0.01447201,98.909453,"[""gurobi""]",0.0,4.444426154748271e-05,"[""7194a2951869823a4480b9f422166f4512cc369f49b6aae28d486969e90260cd"", ""4095015406e0b7424f23d2b9af99bbc74d8ba79158d56638a0af5b539fff25d1"", ""752120756d1eeff6c82a1952a7b73cafb98193fdbed5b6092ffccff430a0ff43""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}"
md_charger_derating__selfish__agent_trigger_only__r004,derating,selfish,agent_trigger_only,agent,4,True,3,True,True,True,382.1359573089459,59.99919305172871,322.1367642572172,4800.0,550.0000246278246,0.2,0.0,0.0,,7.0,4.0,8.0,95648.0,0.01438171,105.85183699999999,"[""gurobi""]",0.0,4.444426154748271e-05,"[""990a9fe32ce2fb5c01b7e2307be87d377626de0567670948220e5a14339ff878"", ""135fc37e4fe677bd708fae8a23d14c4b3369948589b08ed211b8af970f7c7050"", ""bbdda4320f4b5e3395c275c94c8aa78ebd856df45c491c820205914bc34c30fc""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}"
md_charger_derating__selfish__agent_trigger_only__r005,derating,selfish,agent_trigger_only,agent,5,True,3,True,True,True,382.1359573089459,59.99919305172871,322.1367642572172,4800.0,550.0000246278246,0.2,0.0,0.0,,7.0,4.0,8.0,95582.0,0.01431391,96.696415,"[""gurobi""]",0.0,4.444426154748271e-05,"[""bbe5804acad2d788754987c671f6d17a2be55ac7ffeef8bbdf64432806726ff2"", ""d699f97b09b1ab312c755132928f57d8878c684a96572857c1dc4483ccef5c89"", ""308f4879408f5950e596acfe9ceec77e65eb1e5acf6fb57c4afb49f2e6e27c2b""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 97.09, ""2"": 136.251999, ""3"": 145.69539, ""4"": 151.149389, ""5"": 117.497244, ""6"": 130.926662, ""7"": 138.345389, ""8"": 124.149389}"
md_nominal__selfish__scheduled_daily_replan__r001,nominal,selfish,oracle_event_trigger,scheduled_daily_replan,1,False,3,True,True,True,403.7988152064335,73.19866548633883,330.60014972009463,5200.0,744.4453845461267,0.2,0.0,,,4.0,2.0,0.0,0.0,0.0,633.0876380000001,"[""gurobi""]",0.0,2.222223363901321e-05,"[""c758893d9f90b1039bae65b1462a61d76beda81e0b715de0cc282398f868bb76"", ""23de48c011792f0d14d58779b40f4474c9be1ff7a51afde7355a29757ad06d47"", ""8f631a2349fcc308e5913432ba5d472fa3cebdaad735485a9f25d94448e7576d""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 138.448, ""2"": 142.576, ""3"": 143.224744, ""4"": 90.252478, ""5"": 171.274, ""6"": 131.752, ""7"": 149.265378, ""8"": 127.629589}"
md_charger_derating__altruistic__oracle_event_trigger__r001,derating,altruistic,oracle_event_trigger,oracle,1,False,3,True,True,True,334.3485215026571,35.5986914572843,298.7498300453728,6450.000559314518,1950.0000000001342,0.2,0.0,27.642769960776743,7.95592149650756,7.0,4.0,0.0,0.0,0.0,64.521339,"[""gurobi""]",0.0,3.333342533551331e-05,"[""fc27681516a9fdddde35d355672182ffb0b202929f189747c85ec7545ef5039f"", ""4f0280a4c41874c0c1187db0e57a46ff49f6e4130e7cffd05f8c7723dcf0c7cc"", ""255c01f8e8d04063cfd9d77413a36fa7261de90ada58ae2cd65d2f3ec8d563b4""]","{""1"": 73.0, ""2"": 73.0, ""3"": 73.0, ""4"": 73.0, ""5"": 73.0, ""6"": 73.0, ""7"": 73.0, ""8"": 73.0}","{""1"": 87.495578, ""2"": 91.079989, ""3"": 99.5663, ""4"": 105.669289, ""5"": 103.056689, ""6"": 99.141578, ""7"": 109.569089, ""8"": 123.384078}"
