episode_id,condition,mode,configuration,method,day,case_id,attempt_number,timestep,solver_name,solver_status,solver_relative_gap,configured_mip_gap,configured_time_limit_seconds,configured_gap_met,solver_wall_seconds,solver_lower_bound,solver_upper_bound,solver_fallback_used,workbook,workbook_sha256,run_signature_sha256
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,1,md_charger_derating_day1,1,24,gurobi,ok/optimal,0.018052881573,0.02,300.0,True,0.344833,162.0703596957028,165.0499875749374,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_1.xlsx,1b074697b19758699dcf90756496a805743abe166b96ecd152b533ad34e01e55,1366ba07e816692c48040ce3bea6d0c5db14277f779c04ce7d98c55b302420a1
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,1,md_charger_derating_day1,2,24,gurobi,ok/optimal,0.015297966112,0.02,300.0,True,0.316578,161.5690765604377,164.0791538964622,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_1.xlsx,1b074697b19758699dcf90756496a805743abe166b96ecd152b533ad34e01e55,1366ba07e816692c48040ce3bea6d0c5db14277f779c04ce7d98c55b302420a1
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,2,md_charger_derating_day2,1,1,gurobi,ok/optimal,0.019994373652,0.02,300.0,True,3.389272,522.9870021975239,533.657142506812,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_2.xlsx,8a072cf19bdfc05a67a19735f9de1d4947b50d0d4964cd70ea20fe64023b92cb,34adfb7d276ff6b5185176d2963f1c99e4dfed2553ac57382c5915ed3d8aa7e5
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,2,md_charger_derating_day2,2,1,gurobi,ok/optimal,0.019971380133,0.02,300.0,True,3.775413,521.7072999220431,532.3388412806539,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_2.xlsx,8a072cf19bdfc05a67a19735f9de1d4947b50d0d4964cd70ea20fe64023b92cb,34adfb7d276ff6b5185176d2963f1c99e4dfed2553ac57382c5915ed3d8aa7e5
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,3,md_charger_derating_day3,1,1,gurobi,ok/optimal,0.01824995444,0.02,300.0,True,1.597541,510.5894536899866,520.0809065395094,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_3.xlsx,9cc1bded265b31ace6b641d4203101b65cf8594de7298a65619cb8c816d3bcb7,a5885cb1ea4f2fecb3c0a6973bcc6108f2880c47b670914dd1315c5b6931a098
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,3,md_charger_derating_day3,2,1,gurobi,ok/optimal,0.012139600623,0.02,300.0,True,1.95918,508.2591049568207,514.5049900544959,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_3.xlsx,9cc1bded265b31ace6b641d4203101b65cf8594de7298a65619cb8c816d3bcb7,a5885cb1ea4f2fecb3c0a6973bcc6108f2880c47b670914dd1315c5b6931a098
md_charger_derating__selfish__oracle_event_trigger__r001,derating,selfish,oracle_event_trigger,oracle,3,md_charger_derating_day3,3,31,gurobi,ok/optimal,0.0,0.02,300.0,True,1.030544,249.9999875306858,249.9999875306858,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__oracle_event_trigger__r001\day_3.xlsx,9cc1bded265b31ace6b641d4203101b65cf8594de7298a65619cb8c816d3bcb7,a5885cb1ea4f2fecb3c0a6973bcc6108f2880c47b670914dd1315c5b6931a098
md_charger_derating__selfish__numerical_event_trigger__r001,derating,selfish,numerical_event_trigger,numerical,1,md_charger_derating_day1,1,31,gurobi,ok/optimal,0.019863508782,0.02,300.0,True,0.202081,161.7715156972408,165.0499875749229,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__numerical_event_trigger__r001\day_1.xlsx,806b46ca99aab40117b8f489e42eebf69529a4e02ad9f25bb3a96773d1a3d7c6,0e7696a38a65ef963f2e254862985683870970092af61e4afa02e34cc96a9f20
md_charger_derating__selfish__numerical_event_trigger__r001,derating,selfish,numerical_event_trigger,numerical,1,md_charger_derating_day1,2,31,gurobi,ok/optimal,0.018490304453,0.02,300.0,True,0.253309,161.0452803865593,164.079153896455,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__numerical_event_trigger__r001\day_1.xlsx,806b46ca99aab40117b8f489e42eebf69529a4e02ad9f25bb3a96773d1a3d7c6,0e7696a38a65ef963f2e254862985683870970092af61e4afa02e34cc96a9f20
md_charger_derating__selfish__numerical_event_trigger__r001,derating,selfish,numerical_event_trigger,numerical,2,md_charger_derating_day2,1,1,gurobi,ok/optimal,0.019994373652,0.02,300.0,True,3.354697,522.9870021975239,533.657142506812,False,results\revision\multiday_charger_derating_v1\runs\md_charger_derating__selfish__numerical_event_trigger__r001\day_2.xlsx,c43e962bc3ee04b5dd4964158e2651677b50e5d14d9a27b3bbcfc222cc6b820e,bbe18d61e700e60d9e6af302430990001c1f10042d941a5cc30c24885c6e9d7e
