configuration,mode,scope,optimizer_attempts,buy_multiplier_values,buy_multiplier_min,buy_multiplier_mean,buy_multiplier_max,sell_multiplier_values,sell_multiplier_min,sell_multiplier_mean,sell_multiplier_max,mean_reference_buy_arithmetic_mean,mean_chosen_buy_arithmetic_mean,mean_buy_arithmetic_mean_gap,mean_reference_sell_arithmetic_mean,mean_chosen_sell_arithmetic_mean,mean_sell_arithmetic_mean_gap,mean_buy_centered_temporal_mae,mean_sell_centered_temporal_mae,mean_chosen_buy_dispatch_weighted_mean,mean_chosen_sell_dispatch_weighted_mean
agent_trigger_only,altruistic,all_attempts,12,428,1.01,1.0354336448598132,1.05,428,0.82,0.8697196261682243,0.96,1.0235714285714284,1.032352380952381,0.008780952380952332,0.8674999999999998,0.8674999999999998,0.0,0.007125708616780046,0.0,1.0252229166666667,0.9600000000000002
agent_trigger_only,altruistic,initial_attempts,6,214,1.01,1.0242056074766355,1.05,214,0.82,0.8697196261682243,0.96,1.0235714285714284,1.0235714285714284,0.0,0.8675,0.8675,0.0,0.0,0.0,1.01,0.96
agent_trigger_only,selfish,all_attempts,15,440,1.09,1.1225,1.18,440,0.58,0.6411363636363635,0.74,1.1190476190476195,1.1157142857142859,-0.0033333333333333366,0.6265873015873016,0.6332539682539683,0.006666666666666673,0.0,0.0,1.0950000000000002,0.74
agent_trigger_only,selfish,initial_attempts,10,230,1.1,1.126086956521739,1.18,230,0.58,0.6308695652173913,0.72,1.1142857142857143,1.1142857142857143,0.0,0.6236904761904762,0.6236904761904762,0.0,0.0,0.0,1.1,
numerical_event_trigger,altruistic,all_attempts,1,4,1.01,1.02,1.05,4,0.82,0.8549999999999999,0.96,1.02,1.02,0.0,0.855,0.855,0.0,0.0,0.0,,
numerical_event_trigger,altruistic,initial_attempts,1,4,1.01,1.02,1.05,4,0.82,0.8549999999999999,0.96,1.02,1.02,0.0,0.855,0.855,0.0,0.0,0.0,,
numerical_event_trigger,selfish,all_attempts,1,4,1.1,1.1,1.1,4,0.58,0.615,0.72,1.1,1.1,0.0,0.615,0.615,0.0,0.0,0.0,,
numerical_event_trigger,selfish,initial_attempts,1,4,1.1,1.1,1.1,4,0.58,0.615,0.72,1.1,1.1,0.0,0.615,0.615,0.0,0.0,0.0,,
oracle_event_trigger,altruistic,all_attempts,2,84,1.01,1.0358228571428574,1.05,84,0.82,0.8699999999999998,0.96,1.024285714285714,1.0358228571428572,0.0115371428571428,0.87,0.87,0.0,0.007050850340136055,0.0,1.0282675000000001,0.96
oracle_event_trigger,altruistic,initial_attempts,1,42,1.01,1.0242857142857142,1.05,42,0.82,0.8699999999999998,0.96,1.024285714285714,1.024285714285714,0.0,0.87,0.87,0.0,0.0,0.0,1.01,0.96
oracle_event_trigger,selfish,all_attempts,2,84,1.09,1.1235714285714284,1.18,84,0.58,0.6423809523809524,0.74,1.128571428571429,1.123571428571429,-0.005000000000000005,0.6323809523809524,0.6423809523809524,0.01000000000000001,0.0,0.0,1.0950000000000002,0.74
oracle_event_trigger,selfish,initial_attempts,1,42,1.1,1.1285714285714288,1.18,42,0.58,0.6323809523809525,0.72,1.128571428571429,1.128571428571429,0.0,0.6323809523809524,0.6323809523809524,0.0,0.0,0.0,1.1,
rule_text_event_trigger,altruistic,all_attempts,2,84,1.01,1.0358228571428574,1.05,84,0.82,0.8699999999999998,0.96,1.024285714285714,1.0358228571428572,0.0115371428571428,0.87,0.87,0.0,0.007050850340136055,0.0,1.0282675000000001,0.96
rule_text_event_trigger,altruistic,initial_attempts,1,42,1.01,1.0242857142857142,1.05,42,0.82,0.8699999999999998,0.96,1.024285714285714,1.024285714285714,0.0,0.87,0.87,0.0,0.0,0.0,1.01,0.96
rule_text_event_trigger,selfish,all_attempts,2,84,1.09,1.1235714285714284,1.18,84,0.58,0.6423809523809524,0.74,1.128571428571429,1.123571428571429,-0.005000000000000005,0.6323809523809524,0.6423809523809524,0.01000000000000001,0.0,0.0,1.0950000000000002,0.74
rule_text_event_trigger,selfish,initial_attempts,1,42,1.1,1.1285714285714288,1.18,42,0.58,0.6323809523809525,0.72,1.128571428571429,1.128571428571429,0.0,0.6323809523809524,0.6323809523809524,0.0,0.0,0.0,1.1,
