run_id,run_family,configuration,method,case,variant,mode,repetition,stochastic,uses_external_llm,model,reused_complete_workbook,workbook,workbook_sha256,solver_names,solver_fallback_errors,status,timesteps_completed,optimizer_calls,maximum_pricing_reruns,maximum_optimizer_attempts_per_trigger,agent_role_provenance,accepted_optimizer_calls,evaluator_accepted_optimizer_calls,forced_optimizer_selections,retained_better_candidate_selections,optimize_decisions,realized_pto_cost,realized_aggregator_revenue,baseline_aggregator_revenue_reference,baseline_revenue_retention_fraction,baseline_revenue_retention_floor,baseline_revenue_retention_shortfall,baseline_revenue_retention_compliant,revenue_neutrality_active,revenue_neutrality_floor,revenue_neutrality_shortfall,revenue_neutrality_compliant,realized_grid_net_cost,realized_buy_kwh,realized_sell_kwh,curtailed_energy_kwh,event_model_mismatch_timesteps,delay_parameter_absolute_error_minutes,return_delay_parameter_absolute_error_minutes,charger_power_absolute_error_kw,charger_availability_mismatch_count,minimum_observed_soc_fraction,terminal_minimum_soc_fraction,maximum_reserve_shortfall_kwh,reserve_violation_timesteps,llm_request_attempts,llm_successful_requests,llm_failed_attempts,llm_input_tokens,llm_cached_input_tokens,llm_cache_write_tokens,llm_uncached_input_tokens,llm_output_tokens,llm_reasoning_tokens,llm_total_tokens,llm_latency_seconds,llm_approximate_cost_usd,run_wall_seconds,run_process_cpu_seconds,run_average_cpu_cores,run_average_cpu_percent_total_capacity,run_logical_cpu_count,run_rss_start_mb,run_rss_end_mb,run_peak_rss_mb,run_peak_rss_delta_mb,run_memory_sampler_available,local_measurement_scope,provider_compute_scope,recorded_configuration,operationally_feasible,revenue_neutrality_policy_recorded,revenue_neutrality_compliant_for_comparison,economic_comparison_eligible,economic_metric,mode_aligned_economic_value,mode_aligned_economic_score,cheap_price_threshold,expensive_price_threshold,downward_flexibility_cheap_buy_kwh,upward_flexibility_expensive_sell_kwh,price_aligned_flexibility_kwh,cheap_period_buy_share,expensive_period_sell_share,energy_weighted_average_buy_grid_price,energy_weighted_average_sell_grid_price,peak_net_import_kwh_per_interval,peak_net_import_kw,peak_net_export_kwh_per_interval,battery_throughput_proxy_kwh,settlement_realized_buy_kwh,settlement_realized_sell_kwh,settlement_reconciliation_ok
aw_route6_late_return__selfish__uncertain_chat__oracle_event_trigger__r001,primary_trigger_comparison,oracle_event_trigger,oracle,aw_route6_late_return,uncertain_chat,selfish,1,False,False,not_used,False,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/oracle_event_trigger.xlsx,02a3f127adb26cde815f1839aa817714df349f4655811c560cc0af4a8c1aacfb,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",1,0,1,0,1,128.1868824859493,23.89665834446837,,,,,,False,,,,104.2902241414809,1800.0,195.1886,4.811399999999992,0,0,0,0,0,0.2,0.209813698630137,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,13.535392,29.421875,2.173699,13.585622,16,105.234,296.746,380.289,275.055,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,oracle_event_trigger,True,True,True,True,realized_aggregator_revenue,23.89665834446837,23.89665834446837,0.11617311989100818,0.16494732970027248,1800.0,195.1886,1995.1886,1.0,1.0,0.08097161368452921,0.21240318589646964,800.0,1600.0,100.0,1995.1886,1800.0,195.1886,True
aw_route6_late_return__selfish__uncertain_chat__numerical_event_trigger__r001,primary_trigger_comparison,numerical_event_trigger,numerical,aw_route6_late_return,uncertain_chat,selfish,1,False,False,not_used,False,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/numerical_event_trigger.xlsx,207bb1a4fdf04329d979d915223deae6a4a5b2d133ab36eb1284c574554ada0e,['gurobi'],[],complete,48,1,1,2,"{""evaluator"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}}",1,1,0,0,1,105.6715900793218,54.07374430275506,,,,,,False,,,,51.59784577656674,1800.0,444.4444444444445,0.0,1,0,90,0,0,0.1951671232876712,0.1951671232876712,1.763999999999996,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.60653,5.71875,1.020016,6.375099,16,104.703,160.051,297.57,192.867,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,numerical_event_trigger,False,True,True,False,realized_aggregator_revenue,54.07374430275506,54.07374430275506,0.11617311989100818,0.16494732970027248,1800.0,444.4444444444444,2244.4444444444443,1.0,1.0,0.08110247411444141,0.2123698671662125,720.0,1440.0,222.2222222222222,2244.4444444444443,1800.0,444.4444444444444,True
aw_route6_late_return__selfish__uncertain_chat__rule_text_event_trigger__r001,primary_trigger_comparison,rule_text_event_trigger,rule_text,aw_route6_late_return,uncertain_chat,selfish,1,False,False,not_used,False,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/rule_text_event_trigger.xlsx,713ea1d7f0ddf840bf9a85c50fbbd50fd612d2a9a61358ac3cc913b70feb73b2,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",1,0,1,0,1,128.1868824859493,23.89665834446837,,,,,,False,,,,104.2902241414809,1800.0,195.1886,4.811399999999992,0,0,0,0,0,0.2,0.209813698630137,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,13.849359,29.453125,2.126678,13.291736,16,104.617,214.199,332.805,228.188,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,rule_text_event_trigger,True,True,True,True,realized_aggregator_revenue,23.89665834446837,23.89665834446837,0.11617311989100818,0.16494732970027248,1800.0,195.1886,1995.1886,1.0,1.0,0.08097161368452921,0.21240318589646964,800.0,1600.0,100.0,1995.1886,1800.0,195.1886,True
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r001,primary_trigger_comparison,agent_trigger_only,agent,aw_route6_late_return,uncertain_chat,selfish,1,True,True,gpt-5.6-luna,False,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_001.xlsx,8e10540c9b7082ca8e2d1fd08408c6d25a76e61809ac48c1a363061d7a177ab8,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,128.1868824859493,23.89665834446837,,,,,,False,,,,104.2902241414809,1800.0,195.1886,4.811399999999992,0,0,0,0,0,0.2,0.209813698630137,0.0,0,4,4,0,46809,21384,25413,12,1872,491,48681,21.129538,0.00902973,38.288461,33.5,0.874937,5.468358,16,128.988,276.785,456.703,327.715,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,agent_trigger_only,True,True,True,True,realized_aggregator_revenue,23.89665834446837,23.89665834446837,0.11617311989100818,0.16494732970027248,1800.0,195.1886,1995.1886,1.0,1.0,0.08097161368452921,0.21240318589646964,800.0,1600.0,100.0,1995.1886,1800.0,195.1886,True
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r002,primary_trigger_comparison,agent_trigger_only,agent,aw_route6_late_return,uncertain_chat,selfish,2,True,True,gpt-5.6-luna,False,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_002.xlsx,06fe17e3369aa025dfd4d8ba6d3494f30f583a806e7db9d3007b53bdc6440d8b,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,128.1868824859493,23.89665834446837,,,,,,False,,,,104.2902241414809,1800.0,195.1886,4.811399999999992,0,0,0,0,0,0.2,0.209813698630137,0.0,0,4,4,0,46810,26657,20141,12,1816,462,48626,19.879109,0.00774999,37.042629,32.5625,0.879055,5.494092,16,129.227,278.664,378.207,248.98,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,agent_trigger_only,True,True,True,True,realized_aggregator_revenue,23.89665834446837,23.89665834446837,0.11617311989100818,0.16494732970027248,1800.0,195.1886,1995.1886,1.0,1.0,0.08097161368452921,0.21240318589646964,800.0,1600.0,100.0,1995.1886,1800.0,195.1886,True
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r003,primary_trigger_comparison,agent_trigger_only,agent,aw_route6_late_return,uncertain_chat,selfish,3,True,True,gpt-5.6-luna,False,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_003.xlsx,ebae3162e61882a362a5356cf50c16dd4f837470a53d0db3e130705a7ef6e067,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,128.1868824859493,23.89665834446837,,,,,,False,,,,104.2902241414809,1800.0,195.1886,4.811399999999992,0,0,0,0,0,0.2,0.209813698630137,0.0,0,4,4,0,46811,26657,20142,12,1882,522,48693,21.036883,0.00782944,38.141146,33.890625,0.888558,5.553488,16,129.336,346.715,459.07,329.734,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,agent_trigger_only,True,True,True,True,realized_aggregator_revenue,23.89665834446837,23.89665834446837,0.11617311989100818,0.16494732970027248,1800.0,195.1886,1995.1886,1.0,1.0,0.08097161368452921,0.21240318589646964,800.0,1600.0,100.0,1995.1886,1800.0,195.1886,True
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r004,primary_trigger_comparison,agent_trigger_only,agent,aw_route6_late_return,uncertain_chat,selfish,4,True,True,gpt-5.6-luna,False,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_004.xlsx,306db598d19cbbdfec006e4a926c9c8b14445739a6a918ff698623bd34e66d9e,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,128.1868824859493,23.89665834446837,,,,,,False,,,,104.2902241414809,1800.0,195.1886,4.811399999999992,0,0,0,0,0,0.2,0.209813698630137,0.0,0,4,4,0,46880,26657,20211,12,1817,375,48697,21.295626,0.00776869,38.294487,32.734375,0.854806,5.34254,16,129.398,279.004,381.344,251.945,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,agent_trigger_only,True,True,True,True,realized_aggregator_revenue,23.89665834446837,23.89665834446837,0.11617311989100818,0.16494732970027248,1800.0,195.1886,1995.1886,1.0,1.0,0.08097161368452921,0.21240318589646964,800.0,1600.0,100.0,1995.1886,1800.0,195.1886,True
aw_route6_late_return__selfish__uncertain_chat__agent_trigger_only__r005,primary_trigger_comparison,agent_trigger_only,agent,aw_route6_late_return,uncertain_chat,selfish,5,True,True,gpt-5.6-luna,False,results/revision/price_escalation_v3/aw_route6_late_return/selfish/uncertain_chat/agent_trigger_only_rep_005.xlsx,fbd27ae542a15ee45a7ff2a85994e39aefc815c530770c538a3a609092f6bb1e,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,128.1868824859493,23.89665834446837,,,,,,False,,,,104.2902241414809,1800.0,195.1886,4.811399999999992,0,0,0,0,0,0.2,0.209813698630137,0.0,0,4,4,0,46903,26657,20234,12,1784,339,48687,19.857633,0.00773484,36.97461,34.0,0.91955,5.747187,16,129.328,276.867,460.629,331.301,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,agent_trigger_only,True,True,True,True,realized_aggregator_revenue,23.89665834446837,23.89665834446837,0.11617311989100818,0.16494732970027248,1800.0,195.1886,1995.1886,1.0,1.0,0.08097161368452921,0.21240318589646964,800.0,1600.0,100.0,1995.1886,1800.0,195.1886,True
aw_route6_late_return__altruistic__uncertain_chat__oracle_event_trigger__r001,primary_trigger_comparison,oracle_event_trigger,oracle,aw_route6_late_return,uncertain_chat,altruistic,1,False,False,not_used,False,results/revision/price_escalation_v3/aw_route6_late_return/altruistic/uncertain_chat/oracle_event_trigger.xlsx,0b4b8b4db96402246b89da4f0b60df8dfb4c3255dbd0e60e4a2b3f50d0a373c6,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",1,0,1,0,1,89.17780772775626,10.90551342278763,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,78.27229430496865,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,13.926941,20.296875,1.457382,9.108638,16,105.246,192.457,318.094,212.848,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,oracle_event_trigger,True,True,True,True,realized_pto_cost,89.17780772775626,-89.17780772775626,0.11617311989100818,0.16494732970027248,2000.0,395.1886,2395.1886,1.0,1.0,0.08110247411444141,0.2123863237044645,800.0,1600.0,200.0,2395.1886,2000.0,395.1886,True
aw_route6_late_return__altruistic__uncertain_chat__numerical_event_trigger__r001,primary_trigger_comparison,numerical_event_trigger,numerical,aw_route6_late_return,uncertain_chat,altruistic,1,False,False,not_used,False,results/revision/price_escalation_v3/aw_route6_late_return/altruistic/uncertain_chat/numerical_event_trigger.xlsx,2e6f50583a14d02e2c307ecb7f6ca1ad1b8a7caeec6d16b1eda2d3266f4e57f5,['gurobi'],[],complete,48,1,1,2,"{""evaluator"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}}",1,1,0,0,1,75.81068806785962,24.21279469703503,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,51.59789337082459,1800.000559314476,444.4444444444445,0.0,1,0,90,0,0,0.2,0.2048408219178082,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.690874,5.6875,0.999407,6.246294,16,104.703,161.918,299.488,194.785,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,numerical_event_trigger,True,True,True,True,realized_pto_cost,75.81068806785962,-75.81068806785962,0.11617311989100818,0.16494732970027248,1800.0005593144756,444.4444444444444,2244.44500375892,1.0,1.0,0.08110247535470216,0.2123698671662125,720.0,1440.0,222.2222222222222,2244.44500375892,1800.0005593144756,444.4444444444444,True
