run_id,run_family,configuration,method,case,variant,mode,repetition,stochastic,uses_external_llm,model,reused_complete_workbook,workbook,workbook_sha256,solver_names,solver_fallback_errors,status,timesteps_completed,optimizer_calls,maximum_pricing_reruns,maximum_optimizer_attempts_per_trigger,agent_role_provenance,accepted_optimizer_calls,evaluator_accepted_optimizer_calls,forced_optimizer_selections,retained_better_candidate_selections,optimize_decisions,realized_pto_cost,realized_aggregator_revenue,baseline_aggregator_revenue_reference,baseline_revenue_retention_fraction,baseline_revenue_retention_floor,baseline_revenue_retention_shortfall,baseline_revenue_retention_compliant,revenue_neutrality_active,revenue_neutrality_floor,revenue_neutrality_shortfall,revenue_neutrality_compliant,realized_grid_net_cost,realized_buy_kwh,realized_sell_kwh,curtailed_energy_kwh,event_model_mismatch_timesteps,delay_parameter_absolute_error_minutes,return_delay_parameter_absolute_error_minutes,charger_power_absolute_error_kw,charger_availability_mismatch_count,minimum_observed_soc_fraction,terminal_minimum_soc_fraction,maximum_reserve_shortfall_kwh,reserve_violation_timesteps,llm_request_attempts,llm_successful_requests,llm_failed_attempts,llm_input_tokens,llm_cached_input_tokens,llm_cache_write_tokens,llm_uncached_input_tokens,llm_output_tokens,llm_reasoning_tokens,llm_total_tokens,llm_latency_seconds,llm_approximate_cost_usd,run_wall_seconds,run_process_cpu_seconds,run_average_cpu_cores,run_average_cpu_percent_total_capacity,run_logical_cpu_count,run_rss_start_mb,run_rss_end_mb,run_peak_rss_mb,run_peak_rss_delta_mb,run_memory_sampler_available,local_measurement_scope,provider_compute_scope
aw_recoverable_clustered_late_returns__selfish__uncertain_chat__oracle_event_trigger__r001,primary_trigger_comparison,oracle_event_trigger,oracle,aw_recoverable_clustered_late_returns,uncertain_chat,selfish,1,False,False,not_used,True,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/selfish/uncertain_chat/oracle_event_trigger.xlsx,dde9dc208df3059827c62aa5de6890892132012d33e512a85292d29c86668ad2,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",1,0,1,0,1,147.623940184858,25.30932480549495,,,,,,False,,,,122.314615379363,1800.0,195.0157999999945,4.984200000005515,0,0,0,0,0,0.2,0.2048408219178082,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.579323,9.765625,1.019448,6.371552,16,106.82,182.348,308.059,201.238,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_recoverable_clustered_late_returns__selfish__uncertain_chat__numerical_event_trigger__r001,primary_trigger_comparison,numerical_event_trigger,numerical,aw_recoverable_clustered_late_returns,uncertain_chat,selfish,1,False,False,not_used,True,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/selfish/uncertain_chat/numerical_event_trigger.xlsx,e8ae393394b9218a55eaed74785379c01a564f9da16b594a15b4362549c83e05,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}}",1,0,1,0,1,148.0365036662849,25.1488834516067,,,,,,False,,,,122.8876202146783,1800.0,190.2637999999791,9.736200000020858,1,0,165,0,0,0.2,0.2048408219178082,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.571483,9.59375,1.002326,6.26454,16,106.812,177.605,311.25,204.438,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_recoverable_clustered_late_returns__selfish__uncertain_chat__rule_text_event_trigger__r001,primary_trigger_comparison,rule_text_event_trigger,rule_text,aw_recoverable_clustered_late_returns,uncertain_chat,selfish,1,False,False,not_used,True,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/selfish/uncertain_chat/rule_text_event_trigger.xlsx,d0957b0890cfb29a8bf92159a8d9452d31edf5ad5ee146cb641e73754a49e52e,[],[],complete,48,0,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",0,0,0,0,0,146.1250530402664,29.80496203209205,,,,,,False,,,,116.3200910081743,1800.0,244.444444444445,199.9999999999994,9,0,1485,0,0,0.2,0.2048408219178082,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.931112,1.90625,0.987126,6.169536,16,105.328,111.926,111.945,6.617,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_recoverable_clustered_late_returns__altruistic__uncertain_chat__oracle_event_trigger__r001,primary_trigger_comparison,oracle_event_trigger,oracle,aw_recoverable_clustered_late_returns,uncertain_chat,altruistic,1,False,False,not_used,True,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/altruistic/uncertain_chat/oracle_event_trigger.xlsx,b9a2ce8d648c9ad63d58da7cdd42b50b5cdc2fc3b78c83c9bd39c5d0cd7f8a87,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",1,0,1,0,1,134.5346987956974,11.63969024736746,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,122.8950085483299,1800.000559314476,190.2638000000345,9.736199999965521,0,0,0,0,0,0.2,0.2048408219178082,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.46268,9.578125,1.0122,6.32625,16,107.055,178.707,316.012,208.957,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_recoverable_clustered_late_returns__altruistic__uncertain_chat__numerical_event_trigger__r001,primary_trigger_comparison,numerical_event_trigger,numerical,aw_recoverable_clustered_late_returns,uncertain_chat,altruistic,1,False,False,not_used,True,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/altruistic/uncertain_chat/numerical_event_trigger.xlsx,f9a4722f79f770316903b1f63ede30bd78047d93f1aad1b9d0e77c5357425fa8,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NumericalOnlyAgentBackend"", ""evidence_gate"": false}}",1,0,1,0,1,134.5276516858802,11.63998387694317,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,122.8876678089371,1800.000559314476,190.2637999999713,9.736200000028731,1,0,165,0,0,0.2,0.2048408219178082,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.375309,9.390625,1.001634,6.260211,16,107.25,177.266,305.379,198.129,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_recoverable_clustered_late_returns__altruistic__uncertain_chat__rule_text_event_trigger__r001,primary_trigger_comparison,rule_text_event_trigger,rule_text,aw_recoverable_clustered_late_returns,uncertain_chat,altruistic,1,False,False,not_used,True,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/altruistic/uncertain_chat/rule_text_event_trigger.xlsx,7bf59f0c908f8843e55773978e326e92200ba82b299b37c5ec8d80803ee22b33,[],[],complete,48,0,1,2,"{""evaluator"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""NoticeOnlyAgentBackend"", ""evidence_gate"": false}}",0,0,0,0,0,131.2780056506392,14.95793738347877,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,116.3200682671604,1800.000559314476,244.4451372498623,200.0,9,0,1485,0,0,0.2,0.2048408219178082,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.929702,1.921875,0.995944,6.224649,16,106.902,111.867,111.867,4.965,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_recoverable_clustered_late_returns__selfish__uncertain_chat__agent_trigger_only__r001,primary_trigger_comparison,agent_trigger_only,agent,aw_recoverable_clustered_late_returns,uncertain_chat,selfish,1,True,True,gpt-5.6-luna,False,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/selfish/uncertain_chat/agent_trigger_only_rep_001.xlsx,0c6cbbb75aa7680e943fb763a615815b76aea8e047b76fcd9c0ad7fe974b2979,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,148.0365036662856,25.14888345160643,,,,,,False,,,,122.8876202146792,1800.0,190.2637999999713,9.736200000028731,1,0,165,0,0,0.2,0.2048408219178082,0,0,4,4,0,45182,16038,29132,12,1958,506,47140,23.326943,0.00995576,36.659706,14.15625,0.386153,2.413455,16,131.469,243.613,360.406,228.938,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_recoverable_clustered_late_returns__selfish__uncertain_chat__agent_trigger_only__r002,primary_trigger_comparison,agent_trigger_only,agent,aw_recoverable_clustered_late_returns,uncertain_chat,selfish,2,True,True,gpt-5.6-luna,False,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/selfish/uncertain_chat/agent_trigger_only_rep_002.xlsx,0e417abc83b5d14680b08026090499b8619f943cedb8997f2548d9d26dd3de4b,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,148.0365036662856,25.14888345160643,,,,,,False,,,,122.8876202146792,1800.0,190.2637999999713,9.736200000028731,1,0,165,0,0,0.2,0.2048408219178082,0,0,4,4,0,45429,27118,18299,12,2220,564,47649,22.030456,0.00778351,35.199387,13.9375,0.395959,2.474741,16,131.633,237.793,357.371,225.738,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_recoverable_clustered_late_returns__selfish__uncertain_chat__agent_trigger_only__r003,primary_trigger_comparison,agent_trigger_only,agent,aw_recoverable_clustered_late_returns,uncertain_chat,selfish,3,True,True,gpt-5.6-luna,False,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/selfish/uncertain_chat/agent_trigger_only_rep_003.xlsx,8b1e38dbe537aa8d86a8d3761f7074f368bca950578a7c9ac17434634708de94,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,148.0365036662856,25.14888345160643,,,,,,False,,,,122.8876202146792,1800.0,190.2637999999713,9.736200000028731,1,0,165,0,0,0.2,0.2048408219178082,0,0,4,4,0,45448,27118,18318,12,2175,443,47623,25.997281,0.00773426,39.18929,14.078125,0.359234,2.245212,16,131.34,242.387,365.352,234.012,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_recoverable_clustered_late_returns__selfish__uncertain_chat__agent_trigger_only__r004,primary_trigger_comparison,agent_trigger_only,agent,aw_recoverable_clustered_late_returns,uncertain_chat,selfish,4,True,True,gpt-5.6-luna,False,results/revision/recoverable_cluster_v1/aw_recoverable_clustered_late_returns/selfish/uncertain_chat/agent_trigger_only_rep_004.xlsx,758430934dffbfcce9fa527c1d532897c67f66c3a828e51dfa3456f35aa7b1a3,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""pricing"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": false}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,1,1,0,2,148.0365036662856,25.14888345160643,,,,,,False,,,,122.8876202146792,1800.0,190.2637999999713,9.736200000028731,1,0,165,0,0,0.2,0.2048408219178082,0,0,4,4,0,45465,27118,18335,12,2088,325,47553,19.818395,0.00763411,33.154987,14.28125,0.430742,2.692138,16,131.371,240.332,357.641,226.27,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
