depot,fleet_size,mode,configuration,metric,n,mean,standard_deviation,bootstrap_ci95_low,bootstrap_ci95_high
depot_a,8,altruistic,full_agentic,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,8,altruistic,full_agentic,mode_aligned_economic_score,3,-121.88195689313038,0.6217286486197818,-122.24091209577391,-121.1640464878433
depot_a,8,altruistic,full_agentic,run_wall_seconds,3,68.78210333333334,3.741487594150262,65.487488,72.849713
depot_a,8,altruistic,full_agentic,run_process_cpu_seconds,3,9.84375,0.16312978920172735,9.734375,10.03125
depot_a,8,altruistic,full_agentic,run_peak_rss_mb,3,340.8916666666667,0.9836728792303482,339.855,341.81200000000007
depot_a,8,altruistic,full_agentic,llm_latency_seconds,3,60.22525533333334,3.855989395805746,56.791410000000006,64.396803
depot_a,8,altruistic,full_agentic,llm_total_tokens,3,112432.66666666667,1659.547327837725,111384.0,114346.0
depot_a,8,altruistic,full_agentic,llm_approximate_cost_usd,3,0.022960873333333336,0.0011749034926466664,0.02163031,0.0238555
depot_a,8,altruistic,full_agentic,optimizer_latency_seconds_mean,3,3.4406463333333335,0.06442504868126495,3.3848125000000002,3.511137
depot_a,8,altruistic,full_agentic,optimizer_process_cpu_seconds_mean,3,3.5755208333333335,0.07864410870073699,3.4921875,3.6484375
depot_a,8,altruistic,full_agentic,solver_wall_seconds_mean,3,0.18589116666666664,0.006759555021104091,0.17966000000000001,0.1930775
depot_a,8,altruistic,full_agentic,solver_wall_seconds_max,3,0.20553999999999997,0.0036355793210986337,0.201469,0.20846299999999998
depot_a,8,altruistic,full_agentic,solver_model_variables_max,3,5220.0,0.0,5220.0,5220.0
depot_a,8,altruistic,full_agentic,solver_model_constraints_max,3,3454.0,0.0,3454.0,3454.0
depot_a,8,altruistic,full_agentic,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,8,altruistic,full_agentic,solver_iterations_max,0,,0.0,,
depot_a,8,altruistic,rule_text_event_trigger,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,8,altruistic,rule_text_event_trigger,mode_aligned_economic_score,3,-122.2409120957737,0.0,-122.2409120957737,-122.2409120957737
depot_a,8,altruistic,rule_text_event_trigger,run_wall_seconds,3,8.293719333333334,0.0803401545575651,8.20159,8.349201
depot_a,8,altruistic,rule_text_event_trigger,run_process_cpu_seconds,3,8.46875,0.027063293868263706,8.4375,8.484375
depot_a,8,altruistic,rule_text_event_trigger,run_peak_rss_mb,3,275.07033333333334,16.20752668772546,256.363,284.883
depot_a,8,altruistic,rule_text_event_trigger,llm_latency_seconds,3,0.0,0.0,0.0,0.0
depot_a,8,altruistic,rule_text_event_trigger,llm_total_tokens,3,0.0,0.0,0.0,0.0
depot_a,8,altruistic,rule_text_event_trigger,llm_approximate_cost_usd,3,0.0,0.0,0.0,0.0
depot_a,8,altruistic,rule_text_event_trigger,optimizer_latency_seconds_mean,3,3.319051,0.03547838757962364,3.2809484999999996,3.3511355
depot_a,8,altruistic,rule_text_event_trigger,optimizer_process_cpu_seconds_mean,3,3.4088541666666665,0.02957764763437643,3.375,3.4296875
depot_a,8,altruistic,rule_text_event_trigger,solver_wall_seconds_mean,3,0.18514516666666667,0.0009438289481326672,0.184597,0.1862349999999999
depot_a,8,altruistic,rule_text_event_trigger,solver_wall_seconds_max,3,0.194465,0.0014837429022576567,0.192754,0.19539699999999996
depot_a,8,altruistic,rule_text_event_trigger,solver_model_variables_max,3,5220.0,0.0,5220.0,5220.0
depot_a,8,altruistic,rule_text_event_trigger,solver_model_constraints_max,3,3454.0,0.0,3454.0,3454.0
depot_a,8,altruistic,rule_text_event_trigger,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,8,altruistic,rule_text_event_trigger,solver_iterations_max,0,,0.0,,
depot_a,8,selfish,full_agentic,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,8,selfish,full_agentic,mode_aligned_economic_score,3,28.253908895196208,0.82897153149281,27.29669502148039,28.73251583205412
depot_a,8,selfish,full_agentic,run_wall_seconds,3,68.04985833333332,3.9156878474202164,64.565424,72.287401
depot_a,8,selfish,full_agentic,run_process_cpu_seconds,3,9.4375,0.071602745233685,9.359375,9.5
depot_a,8,selfish,full_agentic,run_peak_rss_mb,3,330.93733333333336,16.787044568158333,311.566,341.23
depot_a,8,selfish,full_agentic,llm_latency_seconds,3,59.643825666666665,3.9485007442947695,56.137245,63.920719999999996
depot_a,8,selfish,full_agentic,llm_total_tokens,3,113686.66666666667,2047.5864654107609,112497.0,116051.0
depot_a,8,selfish,full_agentic,llm_approximate_cost_usd,3,0.02366891,0.0017662596209787518,0.02194274,0.0254727
depot_a,8,selfish,full_agentic,optimizer_latency_seconds_mean,3,3.3562368333333334,0.00879770835691506,3.3462005,3.3626165
depot_a,8,selfish,full_agentic,optimizer_process_cpu_seconds_mean,3,3.3697916666666665,0.022552744890219755,3.34375,3.3828125
depot_a,8,selfish,full_agentic,solver_wall_seconds_mean,3,0.1554886666666667,0.003650191170792749,0.1533645,0.1597035
depot_a,8,selfish,full_agentic,solver_wall_seconds_max,3,0.162516,0.0029788163756767575,0.159277,0.165138
depot_a,8,selfish,full_agentic,solver_model_variables_max,3,5220.0,0.0,5220.0,5220.0
depot_a,8,selfish,full_agentic,solver_model_constraints_max,3,3454.0,0.0,3454.0,3454.0
depot_a,8,selfish,full_agentic,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,8,selfish,full_agentic,solver_iterations_max,0,,0.0,,
depot_a,8,selfish,rule_text_event_trigger,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,8,selfish,rule_text_event_trigger,mode_aligned_economic_score,3,28.7325158320542,0.0,28.7325158320542,28.7325158320542
depot_a,8,selfish,rule_text_event_trigger,run_wall_seconds,3,8.125943999999999,0.008741570739861607,8.116522,8.133791
depot_a,8,selfish,rule_text_event_trigger,run_process_cpu_seconds,3,8.182291666666666,0.023867581744561668,8.15625,8.203125
depot_a,8,selfish,rule_text_event_trigger,run_peak_rss_mb,3,283.6376666666667,0.6566660744497985,282.898,284.152
depot_a,8,selfish,rule_text_event_trigger,llm_latency_seconds,3,0.0,0.0,0.0,0.0
depot_a,8,selfish,rule_text_event_trigger,llm_total_tokens,3,0.0,0.0,0.0,0.0
depot_a,8,selfish,rule_text_event_trigger,llm_approximate_cost_usd,3,0.0,0.0,0.0,0.0
depot_a,8,selfish,rule_text_event_trigger,optimizer_latency_seconds_mean,3,3.240456833333333,0.0212396383227995,3.216189,3.255661
depot_a,8,selfish,rule_text_event_trigger,optimizer_process_cpu_seconds_mean,3,3.2864583333333335,0.02957764763437643,3.265625,3.3203125
depot_a,8,selfish,rule_text_event_trigger,solver_wall_seconds_mean,3,0.1633635,0.004640928597813159,0.1580595,0.166678
depot_a,8,selfish,rule_text_event_trigger,solver_wall_seconds_max,3,0.17270833333333332,0.00475480097725797,0.167257,0.17600000000000002
depot_a,8,selfish,rule_text_event_trigger,solver_model_variables_max,3,5220.0,0.0,5220.0,5220.0
depot_a,8,selfish,rule_text_event_trigger,solver_model_constraints_max,3,3454.0,0.0,3454.0,3454.0
depot_a,8,selfish,rule_text_event_trigger,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,8,selfish,rule_text_event_trigger,solver_iterations_max,0,,0.0,,
depot_a,16,altruistic,full_agentic,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,16,altruistic,full_agentic,mode_aligned_economic_score,3,-230.3904922399923,0.0,-230.3904922399923,-230.3904922399923
depot_a,16,altruistic,full_agentic,run_wall_seconds,3,72.259412,3.422001708676223,69.607863,76.122323
depot_a,16,altruistic,full_agentic,run_process_cpu_seconds,3,18.052083333333332,3.026144755845849,16.03125,21.53125
depot_a,16,altruistic,full_agentic,run_peak_rss_mb,3,369.7383333333333,4.230131715837375,367.18,374.6209999999999
depot_a,16,altruistic,full_agentic,llm_latency_seconds,3,61.38829166666667,3.578046044233686,58.579834,65.416799
depot_a,16,altruistic,full_agentic,llm_total_tokens,3,147668.0,1694.898522036054,146612.0,149623.0
depot_a,16,altruistic,full_agentic,llm_approximate_cost_usd,3,0.03074348,0.0014217856686927189,0.02919581,0.03199167
depot_a,16,altruistic,full_agentic,optimizer_latency_seconds_mean,3,4.5055625,0.043937195373054974,4.4743725,4.555811
depot_a,16,altruistic,full_agentic,optimizer_process_cpu_seconds_mean,3,7.440104166666667,1.519131200016833,6.375,9.1796875
depot_a,16,altruistic,full_agentic,solver_wall_seconds_mean,3,1.0037596666666666,0.04894620000657184,0.9613,1.0572945
depot_a,16,altruistic,full_agentic,solver_wall_seconds_max,3,1.0272456666666667,0.07582260270746011,0.966533,1.112233
depot_a,16,altruistic,full_agentic,solver_model_variables_max,3,19620.0,0.0,19620.0,19620.0
depot_a,16,altruistic,full_agentic,solver_model_constraints_max,3,11449.0,0.0,11449.0,11449.0
depot_a,16,altruistic,full_agentic,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,16,altruistic,full_agentic,solver_iterations_max,0,,0.0,,
depot_a,16,altruistic,rule_text_event_trigger,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,16,altruistic,rule_text_event_trigger,mode_aligned_economic_score,3,-232.9059689326934,0.0,-232.9059689326934,-232.9059689326934
depot_a,16,altruistic,rule_text_event_trigger,run_wall_seconds,3,10.585771666666668,0.050123439749615153,10.533668,10.633647
depot_a,16,altruistic,rule_text_event_trigger,run_process_cpu_seconds,3,15.088541666666666,0.2734746998505225,14.8125,15.359375
depot_a,16,altruistic,rule_text_event_trigger,run_peak_rss_mb,3,316.76300000000003,0.6488243213690355,316.047,317.312
