family,arm,mode,metric,n,mean,standard_deviation,bootstrap_ci95_low,bootstrap_ci95_high
trigger,prompt_action_first,selfish,effective_action_correct,5,0.93125,0.009316949906249134,0.9229166666666666,0.9375
trigger,prompt_action_first,selfish,effective_false_optimization_rate,5,0.0,0.0,0.0,0.0
trigger,prompt_action_first,selfish,effective_missed_optimization_rate,5,0.06874999999999998,0.009316949906249103,0.0625,0.07708333333333331
trigger,prompt_action_first,selfish,effective_phase_correct,5,0.9083333333333334,0.017116329922036447,0.89375,0.9208333333333334
trigger,prompt_action_first,selfish,effective_updates_correct,5,0.6375,0.026962873136551664,0.6166666666666666,0.6583854166666661
trigger,prompt_action_first,selfish,effective_uncertainty_recommended_action_correct,5,0.88125,0.01187682734478268,0.8708333333333333,0.8895833333333334
trigger,prompt_action_first,selfish,llm_total_tokens,5,712289.6,407.91825161421747,711971.4,712596.4
trigger,prompt_action_first,selfish,llm_latency_seconds,5,537.979234,14.320570950138931,526.7164184000001,549.4835358
trigger,prompt_action_first,selfish,llm_approximate_cost_usd,5,0.096602186,0.0005686091023981211,0.09613992000000002,0.097020282
trigger,prompt_baseline,selfish,effective_action_correct,5,0.9375,0.014731391274719766,0.925,0.95
trigger,prompt_baseline,selfish,effective_false_optimization_rate,5,0.0,0.0,0.0,0.0
trigger,prompt_baseline,selfish,effective_missed_optimization_rate,5,0.06249999999999998,0.014731391274719752,0.04999999999999996,0.07499999999999998
trigger,prompt_baseline,selfish,effective_phase_correct,5,0.9166666666666666,0.03827327723098716,0.8875,0.9458333333333334
trigger,prompt_baseline,selfish,effective_updates_correct,5,0.65,0.041405431071566225,0.6229166666666667,0.6854166666666667
trigger,prompt_baseline,selfish,effective_uncertainty_recommended_action_correct,5,0.8979166666666666,0.03407380673707526,0.8729166666666666,0.925
trigger,prompt_baseline,selfish,llm_total_tokens,5,704947.2,498.6789548396844,704522.8,705314.8
trigger,prompt_baseline,selfish,llm_latency_seconds,5,535.1363872,16.572816971935087,523.844758,549.4404367999999
trigger,prompt_baseline,selfish,llm_approximate_cost_usd,5,0.09822472,0.004903069300213896,0.09576665,0.10261766800000001
trigger,prompt_evidence_first,selfish,effective_action_correct,5,0.9375,0.01041666666666663,0.9291666666666668,0.9458333333333332
trigger,prompt_evidence_first,selfish,effective_false_optimization_rate,5,0.0,0.0,0.0,0.0
