family,arm,repetition,prompt_variant,confidence_level,confidence_threshold,pricing_guidance_variant,mode,run_id,model,artifact,artifact_sha256,raw_action_correct,raw_event_id_correct,raw_source_type_correct,raw_event_type_correct,raw_phase_correct,raw_affected_buses_correct,raw_affected_chargers_correct,raw_effective_timestep_correct,raw_expected_end_timestep_correct,raw_uncertainty_correct,raw_uncertainty_details_correct,raw_material_correct,raw_updates_correct,raw_uncertainty_confidence_level_correct,raw_uncertainty_provisional_correct,raw_uncertainty_conflicting_evidence_correct,raw_uncertainty_estimates_correct,raw_uncertainty_recommended_action_correct,effective_action_correct,effective_event_id_correct,effective_source_type_correct,effective_event_type_correct,effective_phase_correct,effective_affected_buses_correct,effective_affected_chargers_correct,effective_effective_timestep_correct,effective_expected_end_timestep_correct,effective_uncertainty_correct,effective_uncertainty_details_correct,effective_material_correct,effective_updates_correct,effective_uncertainty_confidence_level_correct,effective_uncertainty_provisional_correct,effective_uncertainty_conflicting_evidence_correct,effective_uncertainty_estimates_correct,effective_uncertainty_recommended_action_correct,raw_optimize_rate,raw_false_optimization_rate,raw_missed_optimization_rate,effective_optimize_rate,effective_false_optimization_rate,effective_missed_optimization_rate,llm_request_attempts,llm_successful_requests,llm_failed_attempts,llm_input_tokens,llm_cached_input_tokens,llm_cache_write_tokens,llm_uncached_input_tokens,llm_output_tokens,llm_reasoning_tokens,llm_total_tokens,llm_latency_seconds,llm_approximate_cost_usd,solver_names,solver_fallback_used,operationally_feasible,mode_aligned_economic_score,chosen_buy_arithmetic_mean,chosen_sell_arithmetic_mean,buy_arithmetic_mean_gap,sell_arithmetic_mean_gap,buy_centered_temporal_mae,sell_centered_temporal_mae,status,timesteps_completed,optimizer_calls,maximum_pricing_reruns,maximum_optimizer_attempts_per_trigger,agent_role_provenance,accepted_optimizer_calls,evaluator_accepted_optimizer_calls,forced_optimizer_selections,retained_better_candidate_selections,optimize_decisions,realized_pto_cost,realized_aggregator_revenue,baseline_aggregator_revenue_reference,baseline_revenue_retention_fraction,baseline_revenue_retention_floor,baseline_revenue_retention_shortfall,baseline_revenue_retention_compliant,revenue_neutrality_active,revenue_neutrality_floor,revenue_neutrality_shortfall,revenue_neutrality_compliant,realized_grid_net_cost,realized_buy_kwh,realized_sell_kwh,curtailed_energy_kwh,event_model_mismatch_timesteps,delay_parameter_absolute_error_minutes,return_delay_parameter_absolute_error_minutes,charger_power_absolute_error_kw,charger_availability_mismatch_count,minimum_observed_soc_fraction,terminal_minimum_soc_fraction,maximum_reserve_shortfall_kwh,reserve_violation_timesteps,run_wall_seconds,run_process_cpu_seconds,run_average_cpu_cores,run_average_cpu_percent_total_capacity,run_logical_cpu_count,run_rss_start_mb,run_rss_end_mb,run_peak_rss_mb,run_peak_rss_delta_mb,run_memory_sampler_available,local_measurement_scope,provider_compute_scope
trigger,prompt_baseline,1,baseline,base,0.7,base,selfish,trigger__prompt_baseline__selfish__r001,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_baseline\trigger__prompt_baseline__selfish__r001_trigger_agent_summary.json,63ad15991268ee79ea2cd0ba08ee01e0e8a7ca7862dfeaf2a53edf81a2cbc5f1,0.9375,1.0,0.9270833333333334,0.7916666666666666,0.9375,1.0,0.9895833333333334,0.65625,0.9895833333333334,0.7916666666666666,0.0,0.9895833333333334,0.625,0.90625,0.84375,0.1875,0.6041666666666666,0.90625,0.9375,1.0,0.9270833333333334,0.7916666666666666,0.9375,1.0,0.9895833333333334,0.65625,0.9895833333333334,0.7916666666666666,0.0,0.9895833333333334,0.625,0.90625,0.84375,0.1875,0.6041666666666666,0.90625,0.4375,0.0,0.0625,0.4375,0.0,0.0625,96,96,0,655559,507870,147401,288,49915,10052,705474,521.761514,0.10696325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger,prompt_baseline,2,baseline,base,0.7,base,selfish,trigger__prompt_baseline__selfish__r002,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_baseline\trigger__prompt_baseline__selfish__r002_trigger_agent_summary.json,402c7b8f0d4b2bac313c0e938eed7ff73458c9ec558fa75e957851635182f4c4,0.9375,1.0,0.9166666666666666,0.7916666666666666,0.8854166666666666,1.0,0.9479166666666666,0.6666666666666666,1.0,0.7291666666666666,0.0,0.96875,0.65625,0.8958333333333334,0.8541666666666666,0.19791666666666666,0.6145833333333334,0.8854166666666666,0.9375,1.0,0.9166666666666666,0.7916666666666666,0.8854166666666666,1.0,0.9479166666666666,0.6666666666666666,1.0,0.7291666666666666,0.0,0.96875,0.65625,0.8958333333333334,0.8541666666666666,0.19791666666666666,0.6145833333333334,0.8854166666666666,0.4375,0.0,0.0625,0.4375,0.0,0.0625,96,96,0,655451,551868,103295,288,49779,9840,705230,539.150411,0.09665351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger,prompt_baseline,3,baseline,base,0.7,base,selfish,trigger__prompt_baseline__selfish__r003,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_baseline\trigger__prompt_baseline__selfish__r003_trigger_agent_summary.json,c2c25a2606ff31f50be403990d12ef86e427e0f215e9c691105b4bbe3f42e34c,0.9583333333333334,1.0,0.9375,0.7916666666666666,0.96875,1.0,0.9791666666666666,0.625,0.9791666666666666,0.7708333333333334,0.0,0.96875,0.71875,0.9166666666666666,0.84375,0.21875,0.6458333333333334,0.9479166666666666,0.9583333333333334,1.0,0.9375,0.7916666666666666,0.96875,1.0,0.9791666666666666,0.625,0.9791666666666666,0.7708333333333334,0.0,0.96875,0.71875,0.9166666666666666,0.84375,0.21875,0.6458333333333334,0.9479166666666666,0.4583333333333333,0.0,0.041666666666666664,0.4583333333333333,0.0,0.041666666666666664,96,96,0,655391,551869,103234,288,48868,9339,704259,523.027504,0.09554508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger,prompt_baseline,4,baseline,base,0.7,base,selfish,trigger__prompt_baseline__selfish__r004,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_baseline\trigger__prompt_baseline__selfish__r004_trigger_agent_summary.json,0a551f6a27ae165325c641b238f45367799ce0a794e4dd8906c749eda0d3be11,0.9166666666666666,1.0,0.9270833333333334,0.7916666666666666,0.875,1.0,0.9479166666666666,0.6145833333333334,0.9791666666666666,0.7604166666666666,0.0,1.0,0.6145833333333334,0.9166666666666666,0.8541666666666666,0.1875,0.5729166666666666,0.8541666666666666,0.9166666666666666,1.0,0.9270833333333334,0.7916666666666666,0.875,1.0,0.9479166666666666,0.6145833333333334,0.9791666666666666,0.7604166666666666,0.0,1.0,0.6145833333333334,0.9166666666666666,0.8541666666666666,0.1875,0.5729166666666666,0.8541666666666666,0.4166666666666667,0.0,0.08333333333333333,0.4166666666666667,0.0,0.08333333333333333,96,96,0,655581,553054,102239,288,49585,9609,705166,562.096753,0.09618043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger,prompt_baseline,5,baseline,base,0.7,base,selfish,trigger__prompt_baseline__selfish__r005,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_baseline\trigger__prompt_baseline__selfish__r005_trigger_agent_summary.json,bdc98fd8c13f465404a91fa9b1b5a5c4836e013ff632028765ff3ef291689112,0.9375,1.0,0.9270833333333334,0.7916666666666666,0.9166666666666666,0.9895833333333334,0.9895833333333334,0.6354166666666666,1.0,0.75,0.0,0.9791666666666666,0.6354166666666666,0.9166666666666666,0.84375,0.22916666666666666,0.5729166666666666,0.8958333333333334,0.9375,1.0,0.9270833333333334,0.7916666666666666,0.9166666666666666,0.9895833333333334,0.9895833333333334,0.6354166666666666,1.0,0.75,0.0,0.9791666666666666,0.6354166666666666,0.9166666666666666,0.84375,0.22916666666666666,0.5729166666666666,0.8958333333333334,0.4375,0.0,0.0625,0.4375,0.0,0.0625,96,96,0,655295,553054,101953,288,49312,9739,704607,529.645754,0.09578133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger,prompt_action_first,1,action_first,base,0.7,base,selfish,trigger__prompt_action_first__selfish__r001,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_action_first\trigger__prompt_action_first__selfish__r001_trigger_agent_summary.json,704791a409f39ccb3d2390d2943d618bf48ab0fd790043335c28702716023d2f,0.9375,1.0,0.9375,0.7916666666666666,0.9270833333333334,0.9895833333333334,0.9895833333333334,0.6145833333333334,1.0,0.78125,0.0,0.9791666666666666,0.625,0.8958333333333334,0.8541666666666666,0.20833333333333334,0.5833333333333334,0.8854166666666666,0.9375,1.0,0.9375,0.7916666666666666,0.9270833333333334,0.9895833333333334,0.9895833333333334,0.6145833333333334,1.0,0.78125,0.0,0.9791666666666666,0.625,0.8958333333333334,0.8541666666666666,0.20833333333333334,0.5833333333333334,0.8854166666666666,0.4375,0.0,0.0625,0.4375,0.0,0.0625,96,96,0,662812,556562,105962,288,49109,8743,711921,541.35567,0.09661014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger,prompt_action_first,2,action_first,base,0.7,base,selfish,trigger__prompt_action_first__selfish__r002,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_action_first\trigger__prompt_action_first__selfish__r002_trigger_agent_summary.json,9f450d2aaba7c0b4575c710f409bcce950c8aa0fefa948feabdda190c5120efd,0.9375,0.9895833333333334,0.90625,0.78125,0.9166666666666666,0.9895833333333334,0.9895833333333334,0.6666666666666666,0.9895833333333334,0.7395833333333334,0.0,0.90625,0.6458333333333334,0.9166666666666666,0.8229166666666666,0.16666666666666666,0.625,0.8958333333333334,0.9375,0.9895833333333334,0.90625,0.78125,0.9166666666666666,0.9895833333333334,0.9895833333333334,0.6666666666666666,0.9895833333333334,0.7395833333333334,0.0,0.90625,0.6458333333333334,0.9166666666666666,0.8229166666666666,0.16666666666666666,0.625,0.8958333333333334,0.4375,0.0,0.0625,0.4375,0.0,0.0625,96,96,0,662863,556600,105975,288,49625,9331,712488,518.780099,0.09723335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger,prompt_action_first,3,action_first,base,0.7,base,selfish,trigger__prompt_action_first__selfish__r003,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_action_first\trigger__prompt_action_first__selfish__r003_trigger_agent_summary.json,0ccaf72f0bd445931a3b9c6eb1ae29197e4b412b25a77b21c75d87b05a647926,0.9166666666666666,1.0,0.9166666666666666,0.7916666666666666,0.8958333333333334,0.9895833333333334,0.9895833333333334,0.6875,0.9895833333333334,0.7395833333333334,0.0,0.9166666666666666,0.6354166666666666,0.9166666666666666,0.8541666666666666,0.1875,0.6145833333333334,0.875,0.9166666666666666,1.0,0.9166666666666666,0.7916666666666666,0.8958333333333334,0.9895833333333334,0.9895833333333334,0.6875,0.9895833333333334,0.7395833333333334,0.0,0.9166666666666666,0.6354166666666666,0.9166666666666666,0.8541666666666666,0.1875,0.6145833333333334,0.875,0.4166666666666667,0.0,0.08333333333333333,0.4166666666666667,0.0,0.08333333333333333,96,96,0,662814,560159,102367,288,49626,9453,712440,539.734866,0.09640373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger,prompt_action_first,4,action_first,base,0.7,base,selfish,trigger__prompt_action_first__selfish__r004,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_action_first\trigger__prompt_action_first__selfish__r004_trigger_agent_summary.json,60129a209f35dedf17973359ef1a708d9b30e09362f64ce4b8936c258d294c48,0.9375,0.9895833333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9791666666666666,0.9895833333333334,0.5833333333333334,1.0,0.7708333333333334,0.0,0.9479166666666666,0.6770833333333334,0.9166666666666666,0.84375,0.19791666666666666,0.6458333333333334,0.8854166666666666,0.9375,0.9895833333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9791666666666666,0.9895833333333334,0.5833333333333334,1.0,0.7708333333333334,0.0,0.9479166666666666,0.6770833333333334,0.9166666666666666,0.84375,0.19791666666666666,0.6458333333333334,0.8854166666666666,0.4375,0.0,0.0625,0.4375,0.0,0.0625,96,96,0,662697,560159,102250,288,49119,8926,711816,558.018237,0.09576608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trigger,prompt_action_first,5,action_first,base,0.7,base,selfish,trigger__prompt_action_first__selfish__r005,gpt-5.6-luna,results\revision\sensitivity_v2\trigger\prompt_action_first\trigger__prompt_action_first__selfish__r005_trigger_agent_summary.json,ba40caf04335a84ce3276d679649a1a3aa941948c98b0fe256b0cedf8a00723b,0.9270833333333334,1.0,0.90625,0.84375,0.8854166666666666,0.9895833333333334,0.9895833333333334,0.625,0.9895833333333334,0.75,0.0,0.96875,0.6041666666666666,0.9166666666666666,0.84375,0.17708333333333334,0.5625,0.8645833333333334,0.9270833333333334,1.0,0.90625,0.84375,0.8854166666666666,0.9895833333333334,0.9895833333333334,0.625,0.9895833333333334,0.75,0.0,0.96875,0.6041666666666666,0.9166666666666666,0.84375,0.17708333333333334,0.5625,0.8645833333333334,0.4270833333333333,0.0,0.07291666666666667,0.4270833333333333,0.0,0.07291666666666667,96,96,0,662909,558974,103647,288,49874,9321,712783,532.007298,0.09699763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
